"c.0.550502379693284..0.553781068217874..0.537281861448969..0.530777366472766..","c.0.569962982548916..0.583606557377049..0.593178212585933..0.547329455314648..","c.0.59286092014807..0.583342147012163..0.55367530407192..0.58630354309889..","c.0.605817028027499..0.556689582231623..0.589423585404548..0.557112638815442..","c.0.576731887890005..0.560444209413009..0.586409307244844..0.556901110523533..","c.0.58281332628239..0.557324167107351..0.572924378635642..0.576361713379164..","c.0.550396615547329..0.579375991538868..0.543839238498149..0.54034902168165..","c.0.546800634584876..0.560126916975145..0.527921734531994..0.563670015864622..","c.0.534320465362242..0.524272871496563..0.521470121628768..0.547276573241671.."
0.550502379693284,0.569962982548916,0.59286092014807,0.605817028027499,0.576731887890005,0.58281332628239,0.550396615547329,0.546800634584876,0.534320465362242
0.553781068217874,0.583606557377049,0.583342147012163,0.556689582231623,0.560444209413009,0.557324167107351,0.579375991538868,0.560126916975145,0.524272871496563
0.537281861448969,0.593178212585933,0.55367530407192,0.589423585404548,0.586409307244844,0.572924378635642,0.543839238498149,0.527921734531994,0.521470121628768
0.530777366472766,0.547329455314648,0.58630354309889,0.557112638815442,0.556901110523533,0.576361713379164,0.54034902168165,0.563670015864622,0.547276573241671
0.563352723426758,0.560338445267054,0.524061343204654,0.559756742464305,0.566578529878371,0.534003172924379,0.53088313061872,0.570068746694871,0.572765732416711
0.527340031729244,0.593072448439979,0.547012162876785,0.553622421998942,0.602644103648863,0.508408249603384,0.56679005817028,0.540824960338445,0.550713907985193
0.540507667900582,0.547382337387626,0.576361713379165,0.550290851401375,0.560338445267054,0.589635113696457,0.560655737704918,0.550608143839239,0.560338445267054
0.547223691168694,0.582919090428345,0.573347435219461,0.557112638815442,0.557059756742464,0.570333157059757,0.547382337387626,0.579799048122686,0.605658381808567
0.543892120571126,0.547012162876785,0.586303543098889,0.563670015864622,0.569910100475939,0.544103648863035,0.515018508725542,0.576784769962983,0.527868852459016
0.56351136964569,0.573611845584347,0.576784769962983,0.615600211528292,0.550713907985193,0.510893707033316,0.55076679005817,0.524695928080381,0.554204124801692
0.570438921205711,0.586567953463776,0.501269169751454,0.570491803278689,0.576626123744051,0.547435219460603,0.553463775780011,0.586144896879958,0.543733474352195
0.527657324167107,0.598889476467478,0.603067160232681,0.567213114754098,0.53416181914331,0.547435219460603,0.524590163934426,0.602379693283977,0.593231094658911
0.563670015864622,0.583289264939186,0.566895822316235,0.544050766790058,0.563987308302485,0.550713907985193,0.573294553146483,0.511634056054997,0.504706504494976
0.553728186144897,0.517821258593337,0.583077736647277,0.58609201480698,0.576679005817028,0.517979904812269,0.523691168693813,0.55695399259651,0.540454785827604
0.491961924907456,0.560497091485986,0.557324167107351,0.566842940243258,0.544156530936013,0.547540983606557,0.54748810153358,0.556742464304601,0.479217345319937
0.514331041776838,0.550555261766261,0.606028556319408,0.546747752511898,0.564040190375463,0.540983606557377,0.544103648863035,0.606451612903226,0.550396615547329
0.556742464304601,0.589423585404548,0.573400317292438,0.59286092014807,0.60888418826018,0.547593865679535,0.566948704389212,0.583077736647277,0.537387625594923
0.52432575356954,0.612533051295611,0.54034902168165,0.579640401903755,0.53416181914331,0.583077736647277,0.533844526705447,0.560285563194077,0.534373347435219
0.498519301956637,0.566737176097303,0.612321523003702,0.544103648863035,0.54362771020624,0.544103648863035,0.560338445267054,0.546800634584876,0.533580116340561
