k=3,k=4,k=5,k=6,k=7,
0.55050238,0.592649392,0.566948704,0.553992597,0.60280275,
0.517503966,0.608989952,0.573135907,0.550343733,0.573188789,
0.550608144,0.566790058,0.582971973,0.586250661,0.585986251,
0.547223691,0.5699101,0.602326811,0.576150185,0.540877842,
0.53368588,0.589952406,0.579957694,0.567107351,0.540454786,
0.541089371,0.570280275,0.58291909,0.582971973,0.576467478,
0.543839238,0.593125331,0.586250661,0.576150185,0.579270227,
0.566472766,0.51480698,0.5867266,0.559915389,0.563088313,
0.530988895,0.56657853,0.612057113,0.54669487,0.570174511,
0.540243258,0.612638815,0.628873612,0.540401904,0.579693284,
0.517979905,0.583077737,0.589740878,0.586303543,0.541195135,
0.550290851,0.544156531,0.599576943,0.55050238,0.589370703,
0.517927023,0.593019566,0.638339503,0.589423585,0.625647805,
0.505023797,0.60253834,0.573347435,0.595875198,0.534267583,
0.547276573,0.553516658,0.596033845,0.586567953,0.540983607,
0.511634056,0.583077737,0.570386039,0.550872554,0.593125331,
0.556901111,0.553781068,0.547382337,0.579428874,0.537546272,
0.524167107,0.570068747,0.583183501,0.566472766,0.579904812,
0.534849286,0.596245373,0.570438921,0.560285563,0.573294553,
0.517821259,0.531200423,0.563670016,0.569434162,0.563194077,
0.527498678,0.586250661,0.570068747,0.602644104,0.579693284,
0.52755156,0.563670016,0.622210471,0.622104707,0.550396616,
0.534373347,0.589635114,0.573188789,0.573294553,0.541195135,
0.511369646,0.593019566,0.576467478,0.579799048,0.583553675,
0.537440508,0.560391327,0.53442623,0.544050767,0.589846642,
0.541089371,0.57985193,0.550713908,0.563881544,0.599101005,
0.544050767,0.583236383,0.605922792,0.566895822,0.5566367,
0.527974617,0.563458488,0.55383395,0.618931782,0.540930724,
0.508461132,0.57652036,0.625489159,0.540243258,0.579428874,
0.537546272,0.573241671,0.579481756,0.599259651,0.554204125,
0.52168165,0.589635114,0.557271285,0.547435219,0.553939714,
0.553410894,0.580380751,0.560232681,0.547593866,0.605711264,
0.543997885,0.618773136,0.593125331,0.625965098,0.576731888,
0.563670016,0.59592808,0.599048123,0.599153887,0.573188789,
0.517768377,0.605922792,0.596562665,0.573241671,0.563670016,
0.544209413,0.583077737,0.547593866,0.573030143,0.537440508,
0.534214701,0.5699101,0.573770492,0.563564252,0.573347435,
0.498519302,0.589264939,0.641988366,0.563881544,0.550396616,
0.536858805,0.570280275,0.560179799,0.537387626,0.615917504,
0.527498678,0.550343733,0.55356954,0.556795346,0.622210471,
0.557059757,0.628926494,0.563458488,0.579375992,0.573506081,
0.556901111,0.573135907,0.550290851,0.612321523,0.582971973,
0.544209413,0.592808038,0.570227393,0.544050767,0.540507668,
0.524431518,0.582707562,0.58291909,0.556478054,0.570174511,
0.507826547,0.60253834,0.560285563,0.580169223,0.553886832,
0.514965627,0.534108937,0.592702274,0.586197779,0.599524061,
0.495029085,0.619196192,0.583130619,0.573347435,0.576837652,
0.550449498,0.605764146,0.576679006,0.563617134,0.609095717,
0.563722898,0.615917504,0.566367002,0.554098361,0.550026441,
0.540877842,0.596509783,0.602221047,0.583130619,0.596139609,
0.514754098,0.582971973,0.609095717,0.602326811,0.573241671,
0.534584876,0.615177155,0.586197779,0.563987308,0.553939714,
0.531094659,0.573611846,0.602273929,0.605764146,0.563458488,
0.527181386,0.543945003,0.57652036,0.5699101,0.605658382,
0.514912745,0.569539926,0.563194077,0.583130619,0.563670016,
0.550713908,0.543839238,0.602485457,0.557006875,0.60613432,
0.549920677,0.576731888,0.615494447,0.586567953,0.580010576,
0.537387626,0.586515071,0.596192491,0.557006875,0.559968271,
0.530777366,0.64489688,0.618826018,0.573030143,0.62575357,
0.563617134,0.589582232,0.605975674,0.583077737,0.573188789,
0.507932311,0.580327869,0.609201481,0.615705976,0.583130619,
0.570015865,0.59005817,0.547170809,0.583077737,0.524378636,
0.563564252,0.612162877,0.560655738,0.579957694,0.592755156,
0.521364357,0.569962983,0.573188789,0.596139609,0.563405605,
0.534161819,0.579693284,0.59286092,0.579799048,0.5244844,
0.573294553,0.586356425,0.583183501,0.543680592,0.602855632,
0.547223691,0.557271285,0.612109995,0.543892121,0.596086727,
0.537281861,0.599524061,0.589635114,0.544103649,0.553358012,
0.537228979,0.592649392,0.570015865,0.560285563,0.573030143,
0.485668958,0.60280275,0.596033845,0.606081438,0.566472766,
0.527392914,0.57652036,0.556742464,0.560285563,0.541300899,
0.536964569,0.618561608,0.563352723,0.583236383,0.576573242,
0.498096245,0.583024855,0.596139609,0.560444209,0.592913802,
0.543786356,0.608989952,0.534214701,0.563564252,0.586409307,
0.524325754,0.553992597,0.596192491,0.563141195,0.589582232,
0.547382337,0.606187203,0.586303543,0.576414595,0.60586991,
0.560391327,0.563881544,0.550237969,0.576837652,0.612480169,
0.495187731,0.560602856,0.595980962,0.534320465,0.560338445,
0.550449498,0.560549974,0.589582232,0.570121629,0.557059757,
0.547223691,0.589106293,0.583236383,0.569698572,0.56404019,
0.534108937,0.524695928,0.579270227,0.583024855,0.563299841,
0.543574828,0.605817028,0.596562665,0.576626124,0.582813326,
0.531041777,0.589582232,0.559968271,0.58291909,0.599365415,
0.547752512,0.563352723,0.576467478,0.589476467,0.586303543,
0.540454786,0.583024855,0.612215759,0.592913802,0.553675304,
0.547223691,0.550713908,0.592966684,0.569857218,0.567054469,
0.514859863,0.586356425,0.602696986,0.586462189,0.586250661,
0.563670016,0.566261237,0.550132205,0.576255949,0.589264939,
0.537498942,0.577081703,0.579558964,0.573676626,0.572253041,mean
0.537466949,0.57678477,0.579561079,0.574775251,0.571760973,percentile
