".","nnGroupCat","Compound","GroupCat","AtomicMassofX","AtomicMassofXprime","AtomicMassofB","AtomicMassofBprime","AtomicMassofA","AtomicMassofAprime","ARENofX","ARENofXprime","ARENofB","ARENofBprime","ARENofA","ARENofAprime","r_XIIofA","r_XIIofAprime","r_VIofBprime","r_VIofB","rofX","rofXprime","CrystalRadiusofA","CrystalRadiusofAprime","CrystalRadiusofBprime","CrystalRadiusofX","CrystalRadiusofXprime","CrystalRadiusofB","IonicRadiiofX","IonicRadiiofXprime","IonicRadiiofB","IonicRadiiofBprime","IonicRadiiofA","IonicRadiiofAprime","IonizationPotentialofX","IonizationPotentialofXprime","IonizationPotentialofB","IonizationPotentialofBprime","IonizationPotentialofA","IonizationPotentialofAprime","PaulingENofX","PaulingENofXprime","PaulingENofB","PaulingENofBprime","PaulingENofA","PaulingENofAprime","ZungerRadiiofX","ZungerRadiiofXprime","ZungerRadiiofB","ZungerRadiiofBprime","ZungerRadiiofA","ZungerRadiiofAprime","BoilingPtofA","BoilingPtofAprime","BoilingPtofB","BoilingPtofX","BoilingPtofXprime","BoilingPtofBprime","CoefficientofLinearThermalExpansionatSpecofA","CoefficientofLinearThermalExpansionatSpecofAprime","CoefficientofLinearThermalExpansionatSpecofB","CoefficientofLinearThermalExpansionatSpecofBprime","DensityatSpecofA","DensityatSpecofAprime","DensityatSpecofB","DensityatSpecofBprime","EnthalpyofFusionofA","EnthalpyofFusionofAprime","EnthalpyofFusionofB","EnthalpyofFusionofBprime","MeltingPtofA","MeltingPtofAprime","MeltingPtofB","MeltingPtofBprime","SpecificHeatCapacityofA","SpecificHeatCapacityofAprime","SpecificHeatCapacityofB","SpecificHeatCapacityofBprime","ThermalHeatConductivityofA","ThermalHeatConductivityofAprime","ThermalHeatConductivityofB","ThermalHeatConductivityofBprime","rA","rB","rX","ToleranceBVP"
4,"6","CsNiCl3",6,35.453,35.453,58.6934,58.6934,132.90545,132.90545,2.83,2.83,1.75,1.75,0.8,0.8,2.126,2.126,0.85,0.85,1.67,1.67,1.81,1.81,0.83,1.67,1.67,0.83,1.81,1.81,0.69,0.69,1.67,1.67,12.96764,12.96764,7.6398,7.6398,3.8939,3.8939,3.16,3.16,1.91,1.91,0.79,0.79,0.5,0.5,0.96,0.96,1.71,1.71,671,671,2913,-34.04,-34.04,2913,97,97,13.4,13.4,1.93,1.93,8.9,8.9,15.7,15.7,290.3,290.3,28.44,28.44,1455,1455,0.242,0.242,0.445,0.445,0.359,0.359,0.907,0.907,2.126,0.85,1.67,1.065149739
4,"6","CsNiF3",6,18.9984032,18.9984032,58.6934,58.6934,132.90545,132.90545,4.1,4.1,1.75,1.75,0.8,0.8,2.126,2.126,0.85,0.85,1.145,1.145,1.81,1.81,0.83,1.19,1.19,0.83,1.33,1.33,0.69,0.69,1.67,1.67,17.42282,17.42282,7.6398,7.6398,3.8939,3.8939,3.98,3.98,1.91,1.91,0.79,0.79,0.25,0.25,0.96,0.96,1.71,1.71,671,671,2913,-188.11,-188.11,2913,97,97,13.4,13.4,1.93,1.93,8.9,8.9,15.7,15.7,290.3,290.3,28.44,28.44,1455,1455,0.242,0.242,0.445,0.445,0.359,0.359,0.907,0.907,2.126,0.85,1.145,1.15937157
1,"5","CsPbCl3",5,35.453,35.453,207.2,207.2,132.90545,132.90545,2.83,2.83,1.55,1.55,0.8,0.8,2.126,2.126,1.308,1.308,1.67,1.67,1.81,1.81,1.33,1.67,1.67,1.33,1.81,1.81,1.19,1.19,1.67,1.67,12.96764,12.96764,7.41666,7.41666,3.8939,3.8939,3.16,3.16,1.8,1.8,0.79,0.79,0.5,0.5,0.96,0.96,1.71,1.71,671,671,1749,-34.04,-34.04,1749,97,97,28.9,28.9,1.93,1.93,11.3,11.3,15.7,15.7,23.1,23.1,28.44,28.44,327.46,327.46,0.242,0.242,0.127,0.127,0.359,0.359,0.353,0.353,2.126,1.308,1.67,0.901335575
2,"3","CsPbF3",3,18.9984032,18.9984032,207.2,207.2,132.90545,132.90545,4.1,4.1,1.55,1.55,0.8,0.8,2.126,2.126,1.308,1.308,1.145,1.145,1.81,1.81,1.33,1.19,1.19,1.33,1.33,1.33,1.19,1.19,1.67,1.67,17.42282,17.42282,7.41666,7.41666,3.8939,3.8939,3.98,3.98,1.8,1.8,0.79,0.79,0.25,0.25,0.96,0.96,1.71,1.71,671,671,1749,-188.11,-188.11,1749,97,97,28.9,28.9,1.93,1.93,11.3,11.3,15.7,15.7,23.1,23.1,28.44,28.44,327.46,327.46,0.242,0.242,0.127,0.127,0.359,0.359,0.353,0.353,2.126,1.308,1.145,0.942905129
2,"3","CsSrF3",3,18.9984032,18.9984032,87.62,87.62,132.90545,132.90545,4.1,4.1,0.99,0.99,0.8,0.8,2.126,2.126,1.314,1.314,1.145,1.145,1.81,1.81,1.32,1.19,1.19,1.32,1.33,1.33,1.18,1.18,1.67,1.67,17.42282,17.42282,5.6949,5.6949,3.8939,3.8939,3.98,3.98,0.95,0.95,0.79,0.79,0.25,0.25,1.42,1.42,1.71,1.71,671,671,1382,-188.11,-188.11,1382,97,97,22.5,22.5,1.93,1.93,2.64,2.64,15.7,15.7,84.8,84.8,28.44,28.44,777,777,0.242,0.242,0.306,0.306,0.359,0.359,0.353,0.353,2.126,1.314,1.145,0.940604425
4,"6","CsVBr3",6,79.904,79.904,50.9415,50.9415,132.90545,132.90545,2.74,2.74,1.45,1.45,0.8,0.8,2.126,2.126,0.896,0.896,1.82,1.82,1.81,1.81,0.93,1.82,1.82,0.93,1.96,1.96,0.79,0.79,1.67,1.67,11.81381,11.81381,6.7462,6.7462,3.8939,3.8939,2.96,2.96,1.63,1.63,0.79,0.79,0.58,0.58,1.09,1.09,1.71,1.71,671,671,3407,58.8,58.8,3407,97,97,8.4,8.4,1.93,1.93,6,6,15.7,15.7,422,422,28.44,28.44,1910,1910,0.242,0.242,0.489,0.489,0.359,0.359,0.307,0.307,2.126,0.896,1.82,1.027335552
4,"6","CsVI3",6,126.90447,126.90447,50.9415,50.9415,132.90545,132.90545,2.21,2.21,1.45,1.45,0.8,0.8,2.126,2.126,0.896,0.896,2.06,2.06,1.81,1.81,0.93,2.06,2.06,0.93,2.2,2.2,0.79,0.79,1.67,1.67,10.45126,10.45126,6.7462,6.7462,3.8939,3.8939,2.66,2.66,1.63,1.63,0.79,0.79,0.755,0.755,1.09,1.09,1.71,1.71,671,671,3407,184.4,184.4,3407,97,97,8.4,8.4,1.93,1.93,6,6,15.7,15.7,422,422,28.44,28.44,1910,1910,0.242,0.242,0.489,0.489,0.359,0.359,0.307,0.307,2.126,0.896,2.06,1.001335922
3,"16","CsVO3",16,15.9994,15.9994,50.9415,50.9415,132.90545,132.90545,3.5,3.5,1.45,1.45,0.8,0.8,2.126,2.126,0.66,0.66,1.21,1.21,1.81,1.81,0.68,1.26,1.26,0.68,1.4,1.4,0.54,0.54,1.67,1.67,13.61806,13.61806,6.7462,6.7462,3.8939,3.8939,3.44,3.44,1.63,1.63,0.79,0.79,0.285,0.285,1.09,1.09,1.71,1.71,671,671,3407,-182.962,-182.962,3407,97,97,8.4,8.4,1.93,1.93,6,6,15.7,15.7,422,422,28.44,28.44,1910,1910,0.242,0.242,0.489,0.489,0.359,0.359,0.307,0.307,2.126,0.66,1.21,1.261448247
3,"16","CuCdCl3",16,35.453,35.453,112.411,112.411,63.546,63.546,2.83,2.83,1.46,1.46,1.75,1.75,1.319,1.319,1.1,1.1,1.67,1.67,0.91,0.91,1.09,1.67,1.67,1.09,1.81,1.81,0.95,0.95,0.77,0.77,12.96764,12.96764,8.9938,8.9938,7.72638,7.72638,3.16,3.16,1.69,1.69,1.9,1.9,0.5,0.5,0.985,0.985,0.88,0.88,2562,2562,767,-34.04,-34.04,767,16.5,16.5,30.8,30.8,8.96,8.96,8.69,8.69,203.5,203.5,55.2,55.2,1084.62,1084.62,321.07,321.07,0.384,0.384,0.231,0.231,4.01,4.01,0.968,0.968,1.319,1.1,1.67,0.763011613
1,"5","CuTaO3",5,15.9994,15.9994,180.9479,180.9479,63.546,63.546,3.5,3.5,1.33,1.33,1.75,1.75,1.319,1.319,0.777,0.777,1.21,1.21,0.91,0.91,0.78,1.26,1.26,0.78,1.4,1.4,0.64,0.64,0.77,0.77,13.61806,13.61806,7.5496,7.5496,7.72638,7.72638,3.44,3.44,1.5,1.5,1.9,1.9,0.285,0.285,1.28,1.28,0.88,0.88,2562,2562,5458,-182.962,-182.962,5458,16.5,16.5,6.3,6.3,8.96,8.96,16.4,16.4,203.5,203.5,202.1,202.1,1084.62,1084.62,3007,3007,0.384,0.384,0.14,0.14,4.01,4.01,0.575,0.575,1.319,0.777,1.21,0.899986437
1,"5","HgSnO3",5,15.9994,15.9994,118.71,118.71,200.59,200.59,3.5,3.5,1.72,1.72,1.44,1.44,1.425,1.425,0.845,0.845,1.21,1.21,1.16,1.16,0.83,1.26,1.26,0.83,1.4,1.4,0.69,0.69,1.02,1.02,13.61806,13.61806,7.3439,7.3439,10.4375,10.4375,3.44,3.44,1.96,1.96,1.9,1.9,0.285,0.285,0.88,0.88,1.07,1.07,356.62,356.62,2602,-182.962,-182.962,2602,60.4,60.4,22,22,13.5336,13.5336,7.26,7.26,11.4,11.4,60.4,60.4,-38.83,-38.83,231.93,231.93,0.139,0.139,0.227,0.227,0.0834,0.0834,0.666,0.666,1.425,0.845,1.21,0.906679498
1,"5","HgTiO3",5,15.9994,15.9994,47.867,47.867,200.59,200.59,3.5,3.5,1.32,1.32,1.44,1.44,1.425,1.425,0.755,0.755,1.21,1.21,1.16,1.16,0.745,1.26,1.26,0.745,1.4,1.4,0.61,0.61,1.02,1.02,13.61806,13.61806,6.8281,6.8281,10.4375,10.4375,3.44,3.44,1.54,1.54,1.9,1.9,0.285,0.285,1.15,1.15,1.07,1.07,356.62,356.62,3287,-182.962,-182.962,3287,60.4,60.4,8.6,8.6,13.5336,13.5336,4.51,4.51,11.4,11.4,295.6,295.6,-38.83,-38.83,1670,1670,0.139,0.139,0.522,0.522,0.0834,0.0834,0.219,0.219,1.425,0.755,1.21,0.948206803
3,"16","K2CsBiCl6",16,35.453,35.453,132.90545,208.98038,39.0983,39.0983,2.83,2.83,0.8,1.67,0.91,0.91,1.841,1.841,1.14,1.87,1.67,1.67,1.52,1.52,1.17,1.67,1.67,1.81,1.81,1.81,1.67,1.03,1.38,1.38,12.96764,12.96764,3.8939,7.2856,4.34066,4.34066,3.16,3.16,0.79,1.9,0.82,0.82,0.5,0.5,1.71,0.92,1.54,1.54,759,759,671,-34.04,-34.04,1564,83.3,83.3,97,13.4,0.89,0.89,1.93,9.79,59.6,59.6,15.7,53.3,63.38,63.38,28.44,271.4,0.757,0.757,0.242,0.122,1.024,1.024,0.359,0.0787,1.841,1.505,1.67,0.781937609
4,"6","K2LiAlF6",6,18.9984032,18.9984032,6.941,26.981538,39.0983,39.0983,4.1,4.1,0.97,1.47,0.91,0.91,1.841,1.841,0.666,0.919,1.145,1.145,1.52,1.52,0.675,1.19,1.19,0.9,1.33,1.33,0.76,0.54,1.38,1.38,17.42282,17.42282,5.39172,5.98577,4.34066,4.34066,3.98,3.98,0.98,1.61,0.82,0.82,0.25,0.25,0.985,0.77,1.54,1.54,759,759,1342,-188.11,-188.11,2519,83.3,83.3,46,23.1,0.89,0.89,0.534,2.7,59.6,59.6,432,399.9,63.38,63.38,180.5,660.32,0.757,0.757,3.57,0.904,1.024,1.024,0.847,2.37,1.841,0.7925,1.145,1.089765599
2,"3","K2NaAlF6",3,18.9984032,18.9984032,22.98977,26.981538,39.0983,39.0983,4.1,4.1,1.01,1.47,0.91,0.91,1.841,1.841,0.666,1.256,1.145,1.145,1.52,1.52,0.675,1.19,1.19,1.16,1.33,1.33,1.02,0.54,1.38,1.38,17.42282,17.42282,5.13908,5.98577,4.34066,4.34066,3.98,3.98,0.93,1.61,0.82,0.82,0.25,0.25,1.1,0.77,1.54,1.54,759,759,882.94,-188.11,-188.11,2519,83.3,83.3,71,23.1,0.89,0.89,0.97,2.7,59.6,59.6,113.1,399.9,63.38,63.38,97.79,660.32,0.757,0.757,1.225,0.904,1.024,1.024,1.41,2.37,1.841,0.961,1.145,1.002574002
2,"3","K2NaCrF6",3,18.9984032,18.9984032,22.98977,51.9961,39.0983,39.0983,4.1,4.1,1.01,1.56,0.91,0.91,1.841,1.841,0.77,1.256,1.145,1.145,1.52,1.52,0.755,1.19,1.19,1.16,1.33,1.33,1.02,0.62,1.38,1.38,17.42282,17.42282,5.13908,6.7665,4.34066,4.34066,3.98,3.98,0.93,1.66,0.82,0.82,0.25,0.25,1.1,1.07,1.54,1.54,759,759,882.94,-188.11,-188.11,2671,83.3,83.3,71,4.9,0.89,0.89,0.97,7.15,59.6,59.6,113.1,404,63.38,63.38,97.79,1907,0.757,0.757,1.225,0.45,1.024,1.024,1.41,0.937,1.841,1.013,1.145,0.978415593
2,"3","K2NaFeF6",3,18.9984032,18.9984032,22.98977,55.845,39.0983,39.0983,4.1,4.1,1.01,1.64,0.91,0.91,1.841,1.841,0.805,1.256,1.145,1.145,1.52,1.52,0.69,1.19,1.19,1.16,1.33,1.33,1.02,0.55,1.38,1.38,17.42282,17.42282,5.13908,7.9024,4.34066,4.34066,3.98,3.98,0.93,1.83,0.82,0.82,0.25,0.25,1.1,0.95,1.54,1.54,759,759,882.94,-188.11,-188.11,2861,83.3,83.3,71,11.8,0.89,0.89,0.97,7.87,59.6,59.6,113.1,247.3,63.38,63.38,97.79,1538,0.757,0.757,1.225,0.449,1.024,1.024,1.41,0.802,1.841,1.0305,1.145,0.970545092
2,"3","K2NaMoO3F3",3,15.9994,18.9984032,22.98977,95.94,39.0983,39.0983,3.5,4.1,1.01,1.3,0.91,0.91,1.841,1.841,0.7,1.256,1.21,1.145,1.52,1.52,0.73,1.26,1.19,1.16,1.4,1.33,1.02,0.59,1.38,1.38,13.61806,17.42282,5.13908,7.09243,4.34066,4.34066,3.44,3.98,0.93,2.16,0.82,0.82,0.285,0.25,1.1,1.22,1.54,1.54,759,759,882.94,-182.962,-188.11,4639,83.3,83.3,71,4.8,0.89,0.89,0.97,10.2,59.6,59.6,113.1,390.7,63.38,63.38,97.79,2622,0.757,0.757,1.225,0.251,1.024,1.024,1.41,1.38,1.841,0.978,1.1775,0.990211932
2,"3","K2NaScF6",3,18.9984032,18.9984032,22.98977,44.95591,39.0983,39.0983,4.1,4.1,1.01,1.2,0.91,0.91,1.841,1.841,0.895,1.256,1.145,1.145,1.52,1.52,0.885,1.19,1.19,1.16,1.33,1.33,1.02,0.75,1.38,1.38,17.42282,17.42282,5.13908,6.5615,4.34066,4.34066,3.98,3.98,0.93,1.36,0.82,0.82,0.25,0.25,1.1,1.22,1.54,1.54,759,759,882.94,-188.11,-188.11,2836,83.3,83.3,71,10.2,0.89,0.89,0.97,2.99,59.6,59.6,113.1,314,63.38,63.38,97.79,1541,0.757,0.757,1.225,0.567,1.024,1.024,1.41,0.158,1.841,1.0755,1.145,0.950876311
2,"3","K2NaVF6",3,18.9984032,18.9984032,22.98977,50.9415,39.0983,39.0983,4.1,4.1,1.01,1.45,0.91,0.91,1.841,1.841,0.789,1.256,1.145,1.145,1.52,1.52,0.78,1.19,1.19,1.16,1.33,1.33,1.02,0.64,1.38,1.38,17.42282,17.42282,5.13908,6.7462,4.34066,4.34066,3.98,3.98,0.93,1.63,0.82,0.82,0.25,0.25,1.1,1.09,1.54,1.54,759,759,882.94,-188.11,-188.11,3407,83.3,83.3,71,8.4,0.89,0.89,0.97,6,59.6,59.6,113.1,422,63.38,63.38,97.79,1910,0.757,0.757,1.225,0.489,1.024,1.024,1.41,0.307,1.841,1.0225,1.145,0.974127266
2,"3","K2NaYF6",3,18.9984032,18.9984032,22.98977,88.90585,39.0983,39.0983,4.1,4.1,1.01,1.11,0.91,0.91,1.841,1.841,1.065,1.256,1.145,1.145,1.52,1.52,1.04,1.19,1.19,1.16,1.33,1.33,1.02,0.9,1.38,1.38,17.42282,17.42282,5.13908,6.2171,4.34066,4.34066,3.98,3.98,0.93,1.22,0.82,0.82,0.25,0.25,1.1,1.32,1.54,1.54,759,759,882.94,-188.11,-188.11,3345,83.3,83.3,71,10.6,0.89,0.89,0.97,4.47,59.6,59.6,113.1,128,63.38,63.38,97.79,1522,0.757,0.757,1.225,0.298,1.024,1.024,1.41,0.172,1.841,1.1605,1.145,0.915819063
2,"3","K3AlF6",4,18.9984032,18.9984032,39.0983,26.981538,39.0983,39.0983,4.1,4.1,0.91,1.47,0.91,0.91,1.841,1.841,0.666,1.585,1.145,1.145,1.52,1.52,0.675,1.19,1.19,1.52,1.33,1.33,1.38,0.54,1.38,1.38,17.42282,17.42282,4.34066,5.98577,4.34066,4.34066,3.98,3.98,0.82,1.61,0.82,0.82,0.25,0.25,1.54,0.77,1.54,1.54,759,759,759,-188.11,-188.11,2519,83.3,83.3,83.3,23.1,0.89,0.89,0.89,2.7,59.6,59.6,59.6,399.9,63.38,63.38,63.38,660.32,0.757,0.757,0.757,0.904,1.024,1.024,1.024,2.37,1.841,1.1255,1.145,0.929936511
2,"3","K3CrF6",3,18.9984032,18.9984032,39.0983,55.845,39.0983,39.0983,4.1,4.1,0.91,1.64,0.91,0.91,1.841,1.841,0.805,1.585,1.145,1.145,1.52,1.52,0.69,1.19,1.19,1.52,1.33,1.33,1.38,0.55,1.38,1.38,17.42282,17.42282,4.34066,7.9024,4.34066,4.34066,3.98,3.98,0.82,1.83,0.82,0.82,0.25,0.25,1.54,0.95,1.54,1.54,759,759,759,-188.11,-188.11,2861,83.3,83.3,83.3,11.8,0.89,0.89,0.89,7.87,59.6,59.6,59.6,247.3,63.38,63.38,63.38,1538,0.757,0.757,0.757,0.449,1.024,1.024,1.024,0.802,1.841,1.195,1.145,0.902316602
2,"3","K3FeF6",3,18.9984032,18.9984032,39.0983,55.845,39.0983,39.0983,4.1,4.1,0.91,1.64,0.91,0.91,1.841,1.841,0.805,1.585,1.145,1.145,1.52,1.52,0.69,1.19,1.19,1.52,1.33,1.33,1.38,0.55,1.38,1.38,17.42282,17.42282,4.34066,7.9024,4.34066,4.34066,3.98,3.98,0.82,1.83,0.82,0.82,0.25,0.25,1.54,0.95,1.54,1.54,759,759,759,-188.11,-188.11,2861,83.3,83.3,83.3,11.8,0.89,0.89,0.89,7.87,59.6,59.6,59.6,247.3,63.38,63.38,63.38,1538,0.757,0.757,0.757,0.449,1.024,1.024,1.024,0.802,1.841,1.195,1.145,0.902316602
3,"16","KCdCl3",7,35.453,35.453,112.411,112.411,39.0983,39.0983,2.83,2.83,1.46,1.46,0.91,0.91,1.841,1.841,1.1,1.1,1.67,1.67,1.52,1.52,1.09,1.67,1.67,1.09,1.81,1.81,0.95,0.95,1.38,1.38,12.96764,12.96764,8.9938,8.9938,4.34066,4.34066,3.16,3.16,1.69,1.69,0.82,0.82,0.5,0.5,0.985,0.985,1.54,1.54,759,759,767,-34.04,-34.04,767,83.3,83.3,30.8,30.8,0.89,0.89,8.69,8.69,59.6,59.6,55.2,55.2,63.38,63.38,321.07,321.07,0.757,0.757,0.231,0.231,1.024,1.024,0.968,0.968,1.841,1.1,1.67,0.896264227
1,"5","KCdF3",5,18.9984032,18.9984032,112.411,112.411,39.0983,39.0983,4.1,4.1,1.46,1.46,0.91,0.91,1.841,1.841,1.1,1.1,1.145,1.145,1.52,1.52,1.09,1.19,1.19,1.09,1.33,1.33,0.95,0.95,1.38,1.38,17.42282,17.42282,8.9938,8.9938,4.34066,4.34066,3.98,3.98,1.69,1.69,0.82,0.82,0.25,0.25,0.985,0.985,1.54,1.54,759,759,767,-188.11,-188.11,767,83.3,83.3,30.8,30.8,0.89,0.89,8.69,8.69,59.6,59.6,55.2,55.2,63.38,63.38,321.07,321.07,0.757,0.757,0.231,0.231,1.024,1.024,0.968,0.968,1.841,1.1,1.145,0.940499264
2,"3","KCoF3",3,18.9984032,18.9984032,58.9332,58.9332,39.0983,39.0983,4.1,4.1,1.7,1.7,0.91,0.91,1.841,1.841,0.888,0.888,1.145,1.145,1.52,1.52,0.79,1.19,1.19,0.79,1.33,1.33,0.65,0.65,1.38,1.38,17.42282,17.42282,7.881,7.881,4.34066,4.34066,3.98,3.98,1.88,1.88,0.82,0.82,0.25,0.25,0.92,0.92,1.54,1.54,759,759,2927,-188.11,-188.11,2927,83.3,83.3,13,13,0.89,0.89,8.86,8.86,59.6,59.6,272.5,272.5,63.38,63.38,1495,1495,0.757,0.757,0.421,0.421,1.024,1.024,1,1,1.841,0.888,1.145,1.038573954
2,"3","KFeCl3",7,35.453,35.453,55.845,55.845,39.0983,39.0983,2.83,2.83,1.64,1.64,0.91,0.91,1.841,1.841,0.93,0.93,1.67,1.67,1.52,1.52,0.75,1.67,1.67,0.75,1.81,1.81,0.61,0.61,1.38,1.38,12.96764,12.96764,7.9024,7.9024,4.34066,4.34066,3.16,3.16,1.83,1.83,0.82,0.82,0.5,0.5,0.95,0.95,1.54,1.54,759,759,2861,-34.04,-34.04,2861,83.3,83.3,11.8,11.8,0.89,0.89,7.87,7.87,59.6,59.6,247.3,247.3,63.38,63.38,1538,1538,0.757,0.757,0.449,0.449,1.024,1.024,0.802,0.802,1.841,0.93,1.67,0.954866119
2,"3","KFeF3",3,18.9984032,18.9984032,55.845,55.845,39.0983,39.0983,4.1,4.1,1.64,1.64,0.91,0.91,1.841,1.841,0.93,0.93,1.145,1.145,1.52,1.52,0.75,1.19,1.19,0.75,1.33,1.33,0.61,0.61,1.38,1.38,17.42282,17.42282,7.9024,7.9024,4.34066,4.34066,3.98,3.98,1.83,1.83,0.82,0.82,0.25,0.25,0.95,0.95,1.54,1.54,759,759,2861,-188.11,-188.11,2861,83.3,83.3,11.8,11.8,0.89,0.89,7.87,7.87,59.6,59.6,247.3,247.3,63.38,63.38,1538,1538,0.757,0.757,0.449,0.449,1.024,1.024,0.802,0.802,1.841,0.93,1.145,1.017552216
2,"3","KMgF3",3,18.9984032,18.9984032,24.305,24.305,39.0983,39.0983,4.1,4.1,1.23,1.23,0.91,0.91,1.841,1.841,0.889,0.889,1.145,1.145,1.52,1.52,0.86,1.19,1.19,0.86,1.33,1.33,0.72,0.72,1.38,1.38,17.42282,17.42282,7.64624,7.64624,4.34066,4.34066,3.98,3.98,1.31,1.31,0.82,0.82,0.25,0.25,0.9,0.9,1.54,1.54,759,759,1090,-188.11,-188.11,1090,83.3,83.3,24.8,24.8,0.89,0.89,1.74,1.74,59.6,59.6,348.9,348.9,63.38,63.38,650,650,0.757,0.757,1.024,1.024,1.024,1.024,1.56,1.56,1.841,0.889,1.145,1.038063347
1,"5","KMnCl3",5,35.453,35.453,54.938049,54.938049,39.0983,39.0983,2.83,2.83,1.6,1.6,0.91,0.91,1.841,1.841,0.986,0.986,1.67,1.67,1.52,1.52,0.81,1.67,1.67,0.81,1.81,1.81,0.83,0.83,1.38,1.38,12.96764,12.96764,7.43402,7.43402,4.34066,4.34066,3.16,3.16,1.55,1.55,0.82,0.82,0.5,0.5,0.99,0.99,1.54,1.54,759,759,2061,-34.04,-34.04,2061,83.3,83.3,21.7,21.7,0.89,0.89,7.3,7.3,59.6,59.6,235,235,63.38,63.38,1246,1246,0.757,0.757,0.479,0.479,1.024,1.024,0.0782,0.0782,1.841,0.986,1.67,0.934733399
2,"3","KMnF3",3,18.9984032,18.9984032,54.938049,54.938049,39.0983,39.0983,4.1,4.1,1.6,1.6,0.91,0.91,1.841,1.841,0.986,0.986,1.145,1.145,1.52,1.52,0.81,1.19,1.19,0.81,1.33,1.33,0.83,0.83,1.38,1.38,17.42282,17.42282,7.43402,7.43402,4.34066,4.34066,3.98,3.98,1.55,1.55,0.82,0.82,0.25,0.25,0.99,0.99,1.54,1.54,759,759,2061,-188.11,-188.11,2061,83.3,83.3,21.7,21.7,0.89,0.89,7.3,7.3,59.6,59.6,235,235,63.38,63.38,1246,1246,0.757,0.757,0.479,0.479,1.024,1.024,0.0782,0.0782,1.841,0.986,1.145,0.990812224
3,"16","KNiCl3",16,35.453,35.453,58.6934,58.6934,39.0983,39.0983,2.83,2.83,1.75,1.75,0.91,0.91,1.841,1.841,0.85,0.85,1.67,1.67,1.52,1.52,0.83,1.67,1.67,0.83,1.81,1.81,0.69,0.69,1.38,1.38,12.96764,12.96764,7.6398,7.6398,4.34066,4.34066,3.16,3.16,1.91,1.91,0.82,0.82,0.5,0.5,0.96,0.96,1.54,1.54,759,759,2913,-34.04,-34.04,2913,83.3,83.3,13.4,13.4,0.89,0.89,8.9,8.9,59.6,59.6,290.3,290.3,63.38,63.38,1455,1455,0.757,0.757,0.445,0.445,1.024,1.024,0.907,0.907,1.841,0.85,1.67,0.985179329
2,"3","KNiF3",3,18.9984032,18.9984032,58.6934,58.6934,39.0983,39.0983,4.1,4.1,1.75,1.75,0.91,0.91,1.841,1.841,0.85,0.85,1.145,1.145,1.52,1.52,0.83,1.19,1.19,0.83,1.33,1.33,0.69,0.69,1.38,1.38,17.42282,17.42282,7.6398,7.6398,4.34066,4.34066,3.98,3.98,1.91,1.91,0.82,0.82,0.25,0.25,0.96,0.96,1.54,1.54,759,759,2913,-188.11,-188.11,2913,83.3,83.3,13.4,13.4,0.89,0.89,8.9,8.9,59.6,59.6,290.3,290.3,63.38,63.38,1455,1455,0.757,0.757,0.445,0.445,1.024,1.024,0.907,0.907,1.841,0.85,1.145,1.058356315
2,"3","KTaO3",3,15.9994,15.9994,180.9479,180.9479,39.0983,39.0983,3.5,3.5,1.33,1.33,0.91,0.91,1.841,1.841,0.777,0.777,1.21,1.21,1.52,1.52,0.78,1.26,1.26,0.78,1.4,1.4,0.64,0.64,1.38,1.38,13.61806,13.61806,7.5496,7.5496,4.34066,4.34066,3.44,3.44,1.5,1.5,0.82,0.82,0.285,0.285,1.28,1.28,1.54,1.54,759,759,5458,-182.962,-182.962,5458,83.3,83.3,6.3,6.3,0.89,0.89,16.4,16.4,59.6,59.6,202.1,202.1,63.38,63.38,3007,3007,0.757,0.757,0.14,0.14,1.024,1.024,0.575,0.575,1.841,0.777,1.21,1.085748762
2,"3","KVF3",3,18.9984032,18.9984032,50.9415,50.9415,39.0983,39.0983,4.1,4.1,1.45,1.45,0.91,0.91,1.841,1.841,0.896,0.896,1.145,1.145,1.52,1.52,0.93,1.19,1.19,0.93,1.33,1.33,0.79,0.79,1.38,1.38,17.42282,17.42282,6.7462,6.7462,4.34066,4.34066,3.98,3.98,1.63,1.63,0.82,0.82,0.25,0.25,1.09,1.09,1.54,1.54,759,759,3407,-188.11,-188.11,3407,83.3,83.3,8.4,8.4,0.89,0.89,6,6,59.6,59.6,422,422,63.38,63.38,1910,1910,0.757,0.757,0.489,0.489,1.024,1.024,0.307,0.307,1.841,0.896,1.145,1.034503111
3,"16","KVO3",16,15.9994,15.9994,50.9415,50.9415,39.0983,39.0983,3.5,3.5,1.45,1.45,0.91,0.91,1.841,1.841,0.66,0.66,1.21,1.21,1.52,1.52,0.68,1.26,1.26,0.68,1.4,1.4,0.54,0.54,1.38,1.38,13.61806,13.61806,6.7462,6.7462,4.34066,4.34066,3.44,3.44,1.63,1.63,0.82,0.82,0.285,0.285,1.09,1.09,1.54,1.54,759,759,3407,-182.962,-182.962,3407,83.3,83.3,8.4,8.4,0.89,0.89,6,6,59.6,59.6,422,422,63.38,63.38,1910,1910,0.757,0.757,0.489,0.489,1.024,1.024,0.307,0.307,1.841,0.66,1.21,1.153680636
