".","nnGroupCat","Compound","GroupCat","AtomicMassofX","AtomicMassofXprime","AtomicMassofB","AtomicMassofBprime","AtomicMassofA","AtomicMassofAprime","ARENofX","ARENofXprime","ARENofB","ARENofBprime","ARENofA","ARENofAprime","r_XIIofA","r_XIIofAprime","r_VIofBprime","r_VIofB","rofX","rofXprime","CrystalRadiusofA","CrystalRadiusofAprime","CrystalRadiusofBprime","CrystalRadiusofX","CrystalRadiusofXprime","CrystalRadiusofB","IonicRadiiofX","IonicRadiiofXprime","IonicRadiiofB","IonicRadiiofBprime","IonicRadiiofA","IonicRadiiofAprime","IonizationPotentialofX","IonizationPotentialofXprime","IonizationPotentialofB","IonizationPotentialofBprime","IonizationPotentialofA","IonizationPotentialofAprime","PaulingENofX","PaulingENofXprime","PaulingENofB","PaulingENofBprime","PaulingENofA","PaulingENofAprime","ZungerRadiiofX","ZungerRadiiofXprime","ZungerRadiiofB","ZungerRadiiofBprime","ZungerRadiiofA","ZungerRadiiofAprime","BoilingPtofA","BoilingPtofAprime","BoilingPtofB","BoilingPtofX","BoilingPtofXprime","BoilingPtofBprime","CoefficientofLinearThermalExpansionatSpecofA","CoefficientofLinearThermalExpansionatSpecofAprime","CoefficientofLinearThermalExpansionatSpecofB","CoefficientofLinearThermalExpansionatSpecofBprime","DensityatSpecofA","DensityatSpecofAprime","DensityatSpecofB","DensityatSpecofBprime","EnthalpyofFusionofA","EnthalpyofFusionofAprime","EnthalpyofFusionofB","EnthalpyofFusionofBprime","MeltingPtofA","MeltingPtofAprime","MeltingPtofB","MeltingPtofBprime","SpecificHeatCapacityofA","SpecificHeatCapacityofAprime","SpecificHeatCapacityofB","SpecificHeatCapacityofBprime","ThermalHeatConductivityofA","ThermalHeatConductivityofAprime","ThermalHeatConductivityofB","ThermalHeatConductivityofBprime","rA","rB","rX","ToleranceBVP"
2,"3","Cs2NaYBr6",3,79.904,79.904,22.98977,88.90585,132.90545,132.90545,2.74,2.74,1.01,1.11,0.8,0.8,2.126,2.126,1.065,1.256,1.82,1.82,1.81,1.81,1.04,1.82,1.82,1.16,1.96,1.96,1.02,0.9,1.67,1.67,11.81381,11.81381,5.13908,6.2171,3.8939,3.8939,2.96,2.96,0.93,1.22,0.79,0.79,0.58,0.58,1.1,1.32,1.71,1.71,671,671,882.94,58.8,58.8,3345,97,97,71,10.6,1.93,1.93,0.97,4.47,15.7,15.7,113.1,128,28.44,28.44,97.79,1522,0.242,0.242,1.225,0.298,0.359,0.359,1.41,0.172,2.126,1.1605,1.82,0.9361662
2,"3","Cs2NaYF6",3,18.9984032,18.9984032,22.98977,88.90585,132.90545,132.90545,4.1,4.1,1.01,1.11,0.8,0.8,2.126,2.126,1.065,1.256,1.145,1.145,1.81,1.81,1.04,1.19,1.19,1.16,1.33,1.33,1.02,0.9,1.67,1.67,17.42282,17.42282,5.13908,6.2171,3.8939,3.8939,3.98,3.98,0.93,1.22,0.79,0.79,0.25,0.25,1.1,1.32,1.71,1.71,671,671,882.94,-188.11,-188.11,3345,97,97,71,10.6,1.93,1.93,0.97,4.47,15.7,15.7,113.1,128,28.44,28.44,97.79,1522,0.242,0.242,1.225,0.298,0.359,0.359,1.41,0.172,2.126,1.1605,1.145,1.00322979
3,"16","Cs3BiCl6",16,35.453,35.453,132.90545,208.98038,132.90545,132.90545,2.83,2.83,0.8,1.67,0.8,0.8,2.126,2.126,1.14,1.87,1.67,1.67,1.81,1.81,1.17,1.67,1.67,1.81,1.81,1.81,1.67,1.03,1.67,1.67,12.96764,12.96764,3.8939,7.2856,3.8939,3.8939,3.16,3.16,0.79,1.9,0.79,0.79,0.5,0.5,1.71,0.92,1.71,1.71,671,671,671,-34.04,-34.04,1564,97,97,97,13.4,1.93,1.93,1.93,9.79,15.7,15.7,15.7,53.3,28.44,28.44,28.44,271.4,0.242,0.242,0.242,0.122,0.359,0.359,0.359,0.0787,2.126,1.505,1.67,0.845410186
2,"3","CsCaBr3",3,79.904,79.904,40.078,40.078,132.90545,132.90545,2.74,2.74,1.04,1.04,0.8,0.8,2.126,2.126,1.163,1.163,1.82,1.82,1.81,1.81,1.14,1.82,1.82,1.14,1.96,1.96,1,1,1.67,1.67,11.81381,11.81381,6.11316,6.11316,3.8939,3.8939,2.96,2.96,1,1,0.79,0.79,0.58,0.58,1.32,1.32,1.71,1.71,671,671,1484,58.8,58.8,1484,97,97,22.3,22.3,1.93,1.93,1.54,1.54,15.7,15.7,213.1,213.1,28.44,28.44,842,842,0.242,0.242,0.646,0.646,0.359,0.359,2,2,2.126,1.163,1.82,0.935381615
2,"3","CsCaF3",3,18.9984032,18.9984032,40.078,40.078,132.90545,132.90545,4.1,4.1,1.04,1.04,0.8,0.8,2.126,2.126,1.163,1.163,1.145,1.145,1.81,1.81,1.14,1.19,1.19,1.14,1.33,1.33,1,1,1.67,1.67,17.42282,17.42282,6.11316,6.11316,3.8939,3.8939,3.98,3.98,1,1,0.79,0.79,0.25,0.25,1.32,1.32,1.71,1.71,671,671,1484,-188.11,-188.11,1484,97,97,22.3,22.3,1.93,1.93,1.54,1.54,15.7,15.7,213.1,213.1,28.44,28.44,842,842,0.242,0.242,0.646,0.646,0.359,0.359,2,2,2.126,1.163,1.145,1.002143103
5,"2","CsCdCl3",2,35.453,35.453,112.411,112.411,132.90545,132.90545,2.83,2.83,1.46,1.46,0.8,0.8,2.126,2.126,1.1,1.1,1.67,1.67,1.81,1.81,1.09,1.67,1.67,1.09,1.81,1.81,0.95,0.95,1.67,1.67,12.96764,12.96764,8.9938,8.9938,3.8939,3.8939,3.16,3.16,1.69,1.69,0.79,0.79,0.5,0.5,0.985,0.985,1.71,1.71,671,671,767,-34.04,-34.04,767,97,97,30.8,30.8,1.93,1.93,8.69,8.69,15.7,15.7,55.2,55.2,28.44,28.44,321.07,321.07,0.242,0.242,0.231,0.231,0.359,0.359,0.968,0.968,2.126,1.1,1.67,0.969017091
2,"3","CsCdF3",3,18.9984032,18.9984032,112.411,112.411,132.90545,132.90545,4.1,4.1,1.46,1.46,0.8,0.8,2.126,2.126,1.1,1.1,1.145,1.145,1.81,1.81,1.09,1.19,1.19,1.09,1.33,1.33,0.95,0.95,1.67,1.67,17.42282,17.42282,8.9938,8.9938,3.8939,3.8939,3.98,3.98,1.69,1.69,0.79,0.79,0.25,0.25,0.985,0.985,1.71,1.71,671,671,767,-188.11,-188.11,767,97,97,30.8,30.8,1.93,1.93,8.69,8.69,15.7,15.7,55.2,55.2,28.44,28.44,321.07,321.07,0.242,0.242,0.231,0.231,0.359,0.359,0.968,0.968,2.126,1.1,1.145,1.030265604
4,"6","CsCoCl3",6,35.453,35.453,58.9332,58.9332,132.90545,132.90545,2.83,2.83,1.7,1.7,0.8,0.8,2.126,2.126,0.888,0.888,1.67,1.67,1.81,1.81,0.79,1.67,1.67,0.79,1.81,1.81,0.65,0.65,1.67,1.67,12.96764,12.96764,7.881,7.881,3.8939,3.8939,3.16,3.16,1.88,1.88,0.79,0.79,0.5,0.5,0.92,0.92,1.71,1.71,671,671,2927,-34.04,-34.04,2927,97,97,13,13,1.93,1.93,8.86,8.86,15.7,15.7,272.5,272.5,28.44,28.44,1495,1495,0.242,0.242,0.421,0.421,0.359,0.359,1,1,2.126,0.888,1.67,1.04932656
4,"6","CsCoF3",6,18.9984032,18.9984032,58.9332,58.9332,132.90545,132.90545,4.1,4.1,1.7,1.7,0.8,0.8,2.126,2.126,0.888,0.888,1.145,1.145,1.81,1.81,0.79,1.19,1.19,0.79,1.33,1.33,0.65,0.65,1.67,1.67,17.42282,17.42282,7.881,7.881,3.8939,3.8939,3.98,3.98,1.88,1.88,0.79,0.79,0.25,0.25,0.92,0.92,1.71,1.71,671,671,2927,-188.11,-188.11,2927,97,97,13,13,1.93,1.93,8.86,8.86,15.7,15.7,272.5,272.5,28.44,28.44,1495,1495,0.242,0.242,0.421,0.421,0.359,0.359,1,1,2.126,0.888,1.145,1.137701073
4,"6","CsFeBr3",6,79.904,79.904,55.845,55.845,132.90545,132.90545,2.74,2.74,1.64,1.64,0.8,0.8,2.126,2.126,0.93,0.93,1.82,1.82,1.81,1.81,0.75,1.82,1.82,0.75,1.96,1.96,0.61,0.61,1.67,1.67,11.81381,11.81381,7.9024,7.9024,3.8939,3.8939,2.96,2.96,1.83,1.83,0.79,0.79,0.58,0.58,0.95,0.95,1.71,1.71,671,671,2861,58.8,58.8,2861,97,97,11.8,11.8,1.93,1.93,7.87,7.87,15.7,15.7,247.3,247.3,28.44,28.44,1538,1538,0.242,0.242,0.449,0.449,0.359,0.359,0.802,0.802,2.126,0.93,1.82,1.014633949
