"node_in","node_out","weight"
"Intercept","1layhid1",-0.0709551024410212
"PC1","1layhid1",0.501412144871623
"PC2","1layhid1",0.0927317882201712
"PC3","1layhid1",2.37283328874486
"PC4","1layhid1",0.978605365016491
"PC5","1layhid1",0.640760549312667
"PC6","1layhid1",0.479418695374647
"PC7","1layhid1",0.0826743717352776
"PC8","1layhid1",-1.14623003981877
"PC9","1layhid1",-1.2397718131134
"PC10","1layhid1",-0.334873104937724
"PC11","1layhid1",2.89898853445866
"PC12","1layhid1",1.95091758387933
"PC13","1layhid1",-2.64791814528432
"PC14","1layhid1",2.34643122902954
"PC15","1layhid1",-0.779045470087268
"PC16","1layhid1",-0.0712405986960162
"Intercept","1layhid2",-0.605207132578522
"PC1","1layhid2",-1.46939340185238
"PC2","1layhid2",-0.977844216382183
"PC3","1layhid2",1.0143092294994
"PC4","1layhid2",-4.01374348885167
"PC5","1layhid2",2.04107705294193
"PC6","1layhid2",-1.39723894682327
"PC7","1layhid2",-1.91310920062742
"PC8","1layhid2",-2.06334576312097
"PC9","1layhid2",-0.948678355604057
"PC10","1layhid2",-1.80392613365079
"PC11","1layhid2",0.728486356451649
"PC12","1layhid2",-0.357822956571653
"PC13","1layhid2",-0.103128282517212
"PC14","1layhid2",0.307794737221713
"PC15","1layhid2",0.186916854255552
"PC16","1layhid2",-0.447501898468515
"Intercept","1layhid3",0.530200427580243
"PC1","1layhid3",2.68211790922134
"PC2","1layhid3",2.3095379547565
"PC3","1layhid3",-0.280397158914843
"PC4","1layhid3",-3.75487397916146
"PC5","1layhid3",2.07556193145952
"PC6","1layhid3",0.799879121938475
"PC7","1layhid3",2.82340429583065
"PC8","1layhid3",0.650869327740724
"PC9","1layhid3",-1.70644725972014
"PC10","1layhid3",-0.450952312570219
"PC11","1layhid3",-3.31046075169636
"PC12","1layhid3",0.391098421725787
"PC13","1layhid3",1.88191005861948
"PC14","1layhid3",-0.527228806696981
"PC15","1layhid3",-0.503928678580236
"PC16","1layhid3",1.67451079094649
"Intercept","1layhid4",1.31004640921307
"PC1","1layhid4",0.18256633134298
"PC2","1layhid4",-0.61103980000918
"PC3","1layhid4",-6.39036302329601
"PC4","1layhid4",-3.29489657586733
"PC5","1layhid4",-0.863736527079659
"PC6","1layhid4",-0.0204256371288918
"PC7","1layhid4",1.76238762986562
"PC8","1layhid4",3.47118213589025
"PC9","1layhid4",-0.434852037465665
"PC10","1layhid4",-2.16143691072771
"PC11","1layhid4",0.558457191910881
"PC12","1layhid4",-0.216525185081609
"PC13","1layhid4",-0.863125369709743
"PC14","1layhid4",1.99687314125168
"PC15","1layhid4",0.306830795453689
"PC16","1layhid4",-1.8007978519254
"Intercept","1layhid5",0.273171182696479
"PC1","1layhid5",-2.05153478084117
"PC2","1layhid5",0.530797889820691
"PC3","1layhid5",-0.0819949646957795
"PC4","1layhid5",-0.933701374174312
"PC5","1layhid5",-0.586631365936402
