"feature","group_cat","lower","upper","est"
"(Intercept)","Cubic",-18.1920103053783,-3.40840291605888,-9.39181597098358
"(Intercept)","Hexagonal",-21.5298546639952,-9.91847106796469,-12.5884936224848
"(Intercept)","LiNb03",4.12090479448386,20.6960534706467,10.9616178541467
"(Intercept)","Tilted",6.16995576102383,22.1306966743489,11.0186917393218
"ARENofA","Cubic",-0.48057374766202,0.0241997100163337,-0.171052776894995
"ARENofA","Hexagonal",-0.397693633434085,-0.236490924865225,-0.266994627852718
"ARENofA","LiNb03",0.64628758834539,1.49471808156256,0.878822727150216
"ARENofA","Tilted",-0.94757294693255,-0.101708531805878,-0.440775322402504
"ARENofAprime","Cubic",-0.408008117166189,0.0928382399380464,-0.125724041661519
"ARENofAprime","Hexagonal",-0.403943175270638,-0.240537984290257,-0.270991807216217
"ARENofAprime","LiNb03",0.648724287929636,1.49576038011021,0.881227897083653
"ARENofAprime","Tilted",-1.01688309646491,-0.155169254921572,-0.484512048205916
"ARENofB","Cubic",-1.34180170435154,0.319941748902285,-0.390328633348894
"ARENofB","Hexagonal",-0.258755899838938,1.00172202952551,0.326140503832594
"ARENofB","LiNb03",-0.561264612280074,0.260478869532565,-0.131809151169225
"ARENofB","Tilted",-0.461496735988985,0.99805095079278,0.195997280685524
"ARENofBprime","Cubic",-0.884584704144372,0.967941504619436,-0.0397931737816857
"ARENofBprime","Hexagonal",-0.643323149022578,0.788736091559044,0.0891727515405825
"ARENofBprime","LiNb03",-0.399403692750897,0.748527877873753,0.143142668477471
"ARENofBprime","Tilted",-1.11081469566151,0.527692358410185,-0.192522246236368
"AtomicMassofA","Cubic",0.00243976584114927,0.00702293221224318,0.00398971397479117
"AtomicMassofA","Hexagonal",0.00309572879395638,0.00567152704973495,0.00329370073324508
"AtomicMassofA","LiNb03",-0.00748277713687934,-0.00299030354724745,-0.00487298033023479
"AtomicMassofA","Tilted",-0.00621141569220678,-0.00130220756339251,-0.00241043437780147
"AtomicMassofAprime","Cubic",-0.000817957666808404,0.0038753878912922,0.00175880826983208
"AtomicMassofAprime","Hexagonal",0.00332495457864277,0.00608921378564907,0.00356055099818871
"AtomicMassofAprime","LiNb03",-0.00754481927168752,-0.00300376854543355,-0.00491957502123592
"AtomicMassofAprime","Tilted",-0.00310916997938169,0.00164934706029095,-0.000399784246784865
"AtomicMassofB","Cubic",-0.0120047984213923,-0.00202389915787629,-0.00509827046488311
"AtomicMassofB","Hexagonal",-0.00129154540474021,0.0078162901359424,0.00258359198286346
"AtomicMassofB","LiNb03",-0.00342587094396039,0.00352497283199181,0.000103758197073537
"AtomicMassofB","Tilted",-0.00117046269341711,0.00813246544264874,0.0024109202849461
"AtomicMassofBprime","Cubic",-0.000813968102235923,0.00596103889474177,0.00191634503991236
"AtomicMassofBprime","Hexagonal",-0.00314381735006433,0.00112675710691558,-0.000819115967471565
"AtomicMassofBprime","LiNb03",-0.00357556554994857,0.00012080291752052,-0.00144584454419552
"AtomicMassofBprime","Tilted",-0.00322145557392309,0.00334099284706257,0.000348615471754718
"BoilingPtofA","Cubic",-0.000114983936575744,0.000194439660640242,1.97045476241268e-05
"BoilingPtofA","Hexagonal",3.53015529125147e-05,0.000146563984165039,6.2700389917422e-05
"BoilingPtofA","LiNb03",-3.91935357385968e-05,0.000189275635910997,4.85918053368132e-05
"BoilingPtofA","Tilted",-0.000349138093325718,-6.25412247547205e-05,-0.000130996742878362
"BoilingPtofAprime","Cubic",-0.000226280235308444,8.4140641312046e-05,-5.00701907891259e-05
"BoilingPtofAprime","Hexagonal",4.26797197574705e-05,0.000157953948592273,6.99748502862614e-05
"BoilingPtofAprime","LiNb03",-3.89871427570456e-05,0.000188230022311327,4.81800284541525e-05
"BoilingPtofAprime","Tilted",-0.000245445674300165,2.80509631667221e-05,-6.8084687951288e-05
"BoilingPtofB","Cubic",-0.0002728565936315,0.000291115891157648,3.42086107486034e-05
"BoilingPtofB","Hexagonal",-0.000252760164904533,9.18799439615112e-05,-3.73665964405186e-05
"BoilingPtofB","LiNb03",-0.000324120227554598,-4.28187274089064e-05,-0.000175361027305958
"BoilingPtofB","Tilted",-1.48451094296667e-05,0.000521308917840129,0.000178519012997873
"BoilingPtofBprime","Cubic",6.458695018217e-06,0.000254103247641413,0.000102201869542542
"BoilingPtofBprime","Hexagonal",-0.000125361209398545,4.12939517111261e-05,-3.6432700703982e-05
"BoilingPtofBprime","LiNb03",-0.000163672797790733,-2.57058380549528e-06,-7.79431198061449e-05
"BoilingPtofBprime","Tilted",-0.000112238135000204,0.000117074656410216,1.2173950967585e-05
"CoefficientofLinearThermalExpansionatSpecofA","Cubic",-0.00403294364893579,0.0281031753399875,0.00468807744220071
"CoefficientofLinearThermalExpansionatSpecofA","Hexagonal",-0.0104763084125274,-0.00132541007095254,-0.0036504955230617
"CoefficientofLinearThermalExpansionatSpecofA","LiNb03",-0.00983562438762255,0.0340819350506709,0.018481504197439
"CoefficientofLinearThermalExpansionatSpecofA","Tilted",-0.0355280592871314,-0.00746918211762755,-0.019519086116578
"CoefficientofLinearThermalExpansionatSpecofAprime","Cubic",-0.000619699454340093,0.0307393802342412,0.00652129624763251
"CoefficientofLinearThermalExpansionatSpecofAprime","Hexagonal",-0.0107418789257437,-0.0014779475458626,-0.00385039755270303
"CoefficientofLinearThermalExpansionatSpecofAprime","LiNb03",-0.00982157929004544,0.0341393593736234,0.0184857045832995
"CoefficientofLinearThermalExpansionatSpecofAprime","Tilted",-0.0389455862690024,-0.0102713028793919,-0.021156603278229
