Compound,A,OxidationStateofA,Aprime,OxidationStateofAprime,B,OxidationStateofB,Bprime,OxidationStateofBprime,X,OxidationStateofX,Xprime,OxidationStateofXprime,GroupCat,Temperature,Z,Volume,CalculatedDensity,SpaceGroup,SpaceGroupNumber,TiltAll_1,TiltAll_2,TiltAll_3,TiltAll_4,TiltAll_5,TiltAll_6,ZofX,ZofXprime,ZofB,ZofBprime,ZofA,ZofAprime,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofX,CrystalRadiusofXprime,CrystalRadiusofB,GroupofB,GroupofA,GroupofAprime,GroupofBprime,GroupofX,GroupofXprime,IonicRadiiofX,IonicRadiiofXprime,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,MendeleevNumberofX,MendeleevNumberofXprime,MendeleevNumberofB,MendeleevNumberofBprime,MendeleevNumberofA,MendeleevNumberofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,PeriodofX,PeriodofXprime,PeriodofB,PeriodofBprime,PeriodofA,PeriodofAprime,ValenceElectronsofX,ValenceElectronsofXprime,ValenceElectronsofB,ValenceElectronsofBprime,ValenceElectronsofA,ValenceElectronsofAprime,ZungerRadiiofX,ZungerRadiiofXprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofX,BoilingPtofXprime,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,rX,ToleranceBVP
PrLuO3,Pr,3,Pr,3,Lu,3,Lu,3,O,-2,O,-2,NaN,293,4,286.93,8.42,Pnma,62,10,11,0,0,0,0,8,8,71,71,59,59,15.9994,15.9994,174.967,174.967,140.90765,140.90765,3.5,3.5,-300,-300,-300,-300,1.441,1.441,1.017,1.017,1.21,1.21,1.13,1.13,1.001,1.26,1.26,1.001,3,3,3,3,16,16,1.4,1.4,0.86,0.86,0.99,0.99,13.61806,13.61806,5.4259,5.4259,5.473,5.473,87,87,41,41,17,17,3.44,3.44,1,1,1.13,1.13,2,2,6,6,6,6,2,2,4,4,3,3,0.285,0.285,-300,-300,-300,-300,3520,3520,3402,-182.962,-182.962,3402,6.7,6.7,9.9,9.9,6.77,6.77,9.84,9.84,48.9,48.9,126,126,931,931,1663,1663,0.193,0.193,0.154,0.154,0.125,0.125,0.164,0.164,1.441,1.017,1.21,0.841733308
PrMnO3,Pr,3,Pr,3,Mn,3,Mn,3,O,-2,O,-2,NaN,293,4,234.35,6.91,Pnma,62,10,11,0,0,0,0,8,8,25,25,59,59,15.9994,15.9994,54.938049,54.938049,140.90765,140.90765,3.5,3.5,1.6,1.6,-300,-300,1.441,1.441,0.806,0.806,1.21,1.21,1.13,1.13,0.72,1.26,1.26,0.72,7,3,3,7,16,16,1.4,1.4,0.58,0.58,0.99,0.99,13.61806,13.61806,7.43402,7.43402,5.473,5.473,87,87,52,52,17,17,3.44,3.44,1.55,1.55,1.13,1.13,2,2,4,4,6,6,2,2,4,4,3,3,0.285,0.285,0.99,0.99,-300,-300,3520,3520,2061,-182.962,-182.962,2061,6.7,6.7,21.7,21.7,6.77,6.77,7.3,7.3,48.9,48.9,235,235,931,931,1246,1246,0.193,0.193,0.479,0.479,0.125,0.125,0.0782,0.0782,1.441,0.806,1.21,0.929831387
PrNiO3,Pr,3,Pr,3,Ni,3,Ni,3,O,-2,O,-2,NaN,293,4,221.85,7.41,Pbnm,62,10,11,0,0,0,0,8,8,28,28,59,59,15.9994,15.9994,58.6934,58.6934,140.90765,140.90765,3.5,3.5,1.75,1.75,-300,-300,1.441,1.441,0.786,0.786,1.21,1.21,1.13,1.13,0.7,1.26,1.26,0.7,10,3,3,10,16,16,1.4,1.4,0.56,0.56,0.99,0.99,13.61806,13.61806,7.6398,7.6398,5.473,5.473,87,87,55,55,17,17,3.44,3.44,1.91,1.91,1.13,1.13,2,2,4,4,6,6,2,2,2,2,3,3,0.285,0.285,0.96,0.96,-300,-300,3520,3520,2913,-182.962,-182.962,2913,6.7,6.7,13.4,13.4,6.77,6.77,8.9,8.9,48.9,48.9,290.3,290.3,931,931,1455,1455,0.193,0.193,0.445,0.445,0.125,0.125,0.907,0.907,1.441,0.786,1.21,0.939148335
PrRuO3,Pr,3,Pr,3,Ru,3,Ru,3,O,-2,O,-2,NaN,293,4,243.17,7.92,Pnma,62,10,11,0,0,0,0,8,8,44,44,59,59,15.9994,15.9994,101.07,101.07,140.90765,140.90765,3.5,3.5,1.42,1.42,-300,-300,1.441,1.441,0.816,0.816,1.21,1.21,1.13,1.13,0.82,1.26,1.26,0.82,8,3,3,8,16,16,1.4,1.4,0.68,0.68,0.99,0.99,13.61806,13.61806,7.3605,7.3605,5.473,5.473,87,87,56,56,17,17,3.44,3.44,2.2,2.2,1.13,1.13,2,2,5,5,6,6,2,2,6,6,3,3,0.285,0.285,1.145,1.145,-300,-300,3520,3520,4150,-182.962,-182.962,4150,6.7,6.7,6.4,6.4,6.77,6.77,12.1,12.1,48.9,48.9,381.8,381.8,931,931,2333,2333,0.193,0.193,0.238,0.238,0.125,0.125,1.17,1.17,1.441,0.816,1.21,0.925241894
PrScS3,Pr,3,Pr,3,Sc,3,Sc,3,S,-2,S,-2,NaN,293,4,439.75,4.26,Pna21,33,-300,0,0,0,0,0,16,16,21,21,59,59,32.065,32.065,44.95591,44.95591,140.90765,140.90765,2.44,2.44,1.2,1.2,-300,-300,1.441,1.441,0.895,0.895,-300,-300,1.13,1.13,0.885,1.7,1.7,0.885,3,3,3,3,16,16,1.84,1.84,0.75,0.75,0.99,0.99,10.36001,10.36001,6.5615,6.5615,5.473,5.473,88,88,11,11,17,17,2.58,2.58,1.36,1.36,1.13,1.13,3,3,4,4,6,6,6,6,3,3,3,3,0.54,0.54,1.22,1.22,-300,-300,3520,3520,2836,444.61,444.61,2836,6.7,6.7,10.2,10.2,6.77,6.77,2.99,2.99,48.9,48.9,314,314,931,931,1541,1541,0.193,0.193,0.567,0.567,0.125,0.125,0.158,0.158,1.441,0.895,-300,0.705815996
PuAlO3,Pu,3,Pu,3,Al,3,Al,3,O,-2,O,-2,5,293,2,106.61,9.93,Amm2,38,-300,0,0,0,0,0,8,8,13,13,94,94,15.9994,15.9994,26.981538,26.981538,244.0642,244.0642,3.5,3.5,1.47,1.47,-300,-300,1.413,1.413,0.666,0.666,1.21,1.21,1.14,1.14,0.675,1.26,1.26,0.675,13,3,3,13,16,16,1.4,1.4,0.54,0.54,1,1,13.61806,13.61806,5.98577,5.98577,6.0262,6.0262,87,87,73,73,24,24,3.44,3.44,1.61,1.61,1.3,1.3,2,2,3,3,7,7,2,2,3,3,4,4,0.285,0.285,0.77,0.77,-300,-300,3228,3228,2519,-182.962,-182.962,2519,46.7,46.7,23.1,23.1,19.7,19.7,2.7,2.7,11.6,11.6,399.9,399.9,640,640,660.32,660.32,-300,-300,0.904,0.904,0.0674,0.0674,2.37,2.37,1.413,0.666,1.21,0.988667957
Rb2AgMoO3F3,Rb,1,Rb,1,Ag,1,Mo,6,O,-2,F,-1,3,293,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,8,9,47,42,37,37,15.9994,18.9984032,107.8682,95.94,85.4678,85.4678,3.5,4.1,1.42,1.3,0.89,0.89,1.972,1.972,0.7,1.295,1.21,1.145,1.66,1.66,0.73,1.26,1.19,1.29,11,1,1,6,16,17,1.4,1.33,1.15,0.59,1.52,1.52,13.61806,17.42282,7.5762,7.09243,4.17713,4.17713,87,93,65,50,4,4,3.44,3.98,1.93,2.16,0.82,0.82,2,2,5,5,5,5,2,1,2,6,2,2,0.285,0.25,1.045,1.22,1.67,1.67,688,688,2162,-182.962,-188.11,4639,-300,-300,18.9,4.8,1.53,1.53,10.5,10.2,25.6,25.6,104.6,390.7,39.3,39.3,961.78,2622,0.364,0.364,0.235,0.251,0.582,0.582,4.29,1.38,1.972,0.9975,1.1775,1.02392313
Rb2KBiF6,Rb,1,Rb,1,K,1,Bi,3,F,-1,F,-1,3,293,4,822.39,4.31,Fm-3m,225,23,0,0,0,0,0,9,9,19,83,37,37,18.9984032,18.9984032,39.0983,208.98038,85.4678,85.4678,4.1,4.1,0.91,1.67,0.89,0.89,1.972,1.972,1.14,1.585,1.145,1.145,1.66,1.66,1.17,1.19,1.19,1.52,1,1,1,15,17,17,1.33,1.33,1.38,1.03,1.52,1.52,17.42282,17.42282,4.34066,7.2856,4.17713,4.17713,93,93,3,86,4,4,3.98,3.98,0.82,1.9,0.82,0.82,2,2,4,6,5,5,1,1,1,6,2,2,0.25,0.25,1.54,0.92,1.67,1.67,688,688,759,-188.11,-188.11,1564,-300,-300,83.3,13.4,1.53,1.53,0.89,9.79,25.6,25.6,59.6,53.3,39.3,39.3,63.38,271.4,0.364,0.364,0.757,0.122,0.582,0.582,1.024,0.0787,1.972,1.3625,1.145,0.878983783
Rb2KFeF6,Rb,1,Rb,1,K,1,Fe,3,F,-1,F,-1,3,293,4,697.63,3.62,Fm-3m,225,23,0,0,0,0,0,9,9,19,26,37,37,18.9984032,18.9984032,39.0983,55.845,85.4678,85.4678,4.1,4.1,0.91,1.64,0.89,0.89,1.972,1.972,0.805,1.585,1.145,1.145,1.66,1.66,0.69,1.19,1.19,1.52,1,1,1,8,17,17,1.33,1.33,1.38,0.55,1.52,1.52,17.42282,17.42282,4.34066,7.9024,4.17713,4.17713,93,93,3,55,4,4,3.98,3.98,0.82,1.83,0.82,0.82,2,2,4,4,5,5,1,1,1,3,2,2,0.25,0.25,1.54,0.95,1.67,1.67,688,688,759,-188.11,-188.11,2861,-300,-300,83.3,11.8,1.53,1.53,0.89,7.87,25.6,25.6,59.6,247.3,39.3,39.3,63.38,1538,0.364,0.364,0.757,0.449,0.582,0.582,1.024,0.802,1.972,1.195,1.145,0.941902494
Rb2KGaF6,Rb,1,Rb,1,K,1,Ga,3,F,-1,F,-1,4,293,4,683.1,3.83,Fm-3m,225,23,0,0,0,0,0,9,9,19,31,37,37,18.9984032,18.9984032,39.0983,69.723,85.4678,85.4678,4.1,4.1,0.91,1.82,0.89,0.89,1.972,1.972,0.776,1.585,1.145,1.145,1.66,1.66,0.76,1.19,1.19,1.52,1,1,1,13,17,17,1.33,1.33,1.38,0.62,1.52,1.52,17.42282,17.42282,4.34066,5.9993,4.17713,4.17713,93,93,3,74,4,4,3.98,3.98,0.82,1.81,0.82,0.82,2,2,4,4,5,5,1,1,1,4,2,2,0.25,0.25,1.54,0.76,1.67,1.67,688,688,759,-188.11,-188.11,2204,-300,-300,83.3,18,1.53,1.53,0.89,5.91,25.6,25.6,59.6,80,39.3,39.3,63.38,29.767,0.364,0.364,0.757,0.374,0.582,0.582,1.024,0.406,1.972,1.1805,1.145,0.947775462
