Compound,A,OxidationStateofA,Aprime,OxidationStateofAprime,B,OxidationStateofB,Bprime,OxidationStateofBprime,X,OxidationStateofX,Xprime,OxidationStateofXprime,GroupCat,Temperature,Z,Volume,CalculatedDensity,SpaceGroup,SpaceGroupNumber,TiltAll_1,TiltAll_2,TiltAll_3,TiltAll_4,TiltAll_5,TiltAll_6,ZofX,ZofXprime,ZofB,ZofBprime,ZofA,ZofAprime,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofX,CrystalRadiusofXprime,CrystalRadiusofB,GroupofB,GroupofA,GroupofAprime,GroupofBprime,GroupofX,GroupofXprime,IonicRadiiofX,IonicRadiiofXprime,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,MendeleevNumberofX,MendeleevNumberofXprime,MendeleevNumberofB,MendeleevNumberofBprime,MendeleevNumberofA,MendeleevNumberofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,PeriodofX,PeriodofXprime,PeriodofB,PeriodofBprime,PeriodofA,PeriodofAprime,ValenceElectronsofX,ValenceElectronsofXprime,ValenceElectronsofB,ValenceElectronsofBprime,ValenceElectronsofA,ValenceElectronsofAprime,ZungerRadiiofX,ZungerRadiiofXprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofX,BoilingPtofXprime,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,rX,ToleranceBVP
Ba2SrUO6,Ba,2,Ba,2,Sr,2,U,6,O,-2,O,-2,5,313,2,345.01,6.7,P121/n1,14,10,11,0,0,0,0,8,8,38,92,56,56,15.9994,15.9994,87.62,238.02891,137.327,137.327,3.5,3.5,0.99,-300,0.97,0.97,1.738,1.738,0.84,1.314,1.21,1.21,1.49,1.49,0.87,1.26,1.26,1.32,2,2,2,3,16,16,1.4,1.4,1.18,0.73,1.35,1.35,13.61806,13.61806,5.6949,6.19405,5.2117,5.2117,87,87,8,20,9,9,3.44,3.44,0.95,1.7,0.89,0.89,2,2,5,7,6,6,2,2,3,6,3,3,0.285,0.285,1.42,-300,1.515,1.515,1897,1897,1382,-182.962,-182.962,4131,20.6,20.6,22.5,13.9,3.62,3.62,2.64,19.1,51.8,51.8,84.8,38.4,727,727,777,1135,0.205,0.205,0.306,0.116,0.184,0.184,0.353,0.276,1.738,1.077,1.21,0.911478265
AgNbO3,Ag,1,Ag,1,Nb,5,Nb,5,O,-2,O,-2,5,303,8,482.96,6.84,Pbcm,57,-300,0,0,0,0,0,8,8,41,41,47,47,15.9994,15.9994,92.90638,92.90638,107.8682,107.8682,3.5,3.5,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,1.21,1.21,1.29,1.29,0.78,1.26,1.26,0.78,5,11,11,5,16,16,1.4,1.4,0.64,0.64,1.15,1.15,13.61806,13.61806,6.75885,6.75885,7.5762,7.5762,87,87,47,47,65,65,3.44,3.44,1.6,1.6,1.93,1.93,2,2,5,5,5,5,2,2,6,6,2,2,0.285,0.285,1.23,1.23,1.045,1.045,2162,2162,4744,-182.962,-182.962,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,1.551,0.768,1.21,0.987018111
Sr2LiReSe6,Sr,2,Sr,2,Li,1,Re,7,Se,-2,Se,-2,16,303,2,244.07,6.32,I4/m,87,22,0,0,0,0,0,34,34,3,75,38,38,78.96,78.96,6.941,186.207,87.62,87.62,2.48,2.48,0.97,1.46,0.99,0.99,1.571,1.571,0.7,0.919,-300,-300,1.32,1.32,0.67,1.84,1.84,0.9,1,2,2,7,16,16,1.98,1.98,0.76,0.53,1.18,1.18,9.75238,9.75238,5.39172,7.8335,5.6949,5.6949,89,89,1,54,8,8,2.55,2.55,0.98,1.9,0.95,0.95,4,4,2,6,5,5,5,5,1,6,3,3,0.615,0.615,0.985,1.19,1.42,1.42,1382,1382,1342,685,685,5596,22.5,22.5,46,6.2,2.64,2.64,0.534,20.8,84.8,84.8,432,324.5,777,777,180.5,3186,0.306,0.306,3.57,0.137,0.353,0.353,0.847,0.479,1.571,0.8095,-300,0.705307052
Ba2BiIrO6,Ba,2,Ba,2,Bi,3,Ir,5,O,-2,O,-2,5,300,3,460.56,8.36,R-3H,-300,-300,0,0,0,0,0,8,8,83,77,56,56,15.9994,15.9994,208.98038,192.217,137.327,137.327,3.5,3.5,1.67,1.55,0.97,0.97,1.738,1.738,0.773,1.14,1.21,1.21,1.49,1.49,0.71,1.26,1.26,1.17,15,2,2,9,16,16,1.4,1.4,1.03,0.57,1.35,1.35,13.61806,13.61806,7.2856,8.967,5.2117,5.2117,87,87,86,60,9,9,3.44,3.44,1.9,2.2,0.89,0.89,2,2,6,6,6,6,2,2,6,6,3,3,0.285,0.285,0.92,1.16,1.515,1.515,1897,1897,1564,-182.962,-182.962,4428,20.6,20.6,13.4,6.4,3.62,3.62,9.79,22.5,51.8,51.8,53.3,213.9,727,727,271.4,2446,0.205,0.205,0.122,0.131,0.184,0.184,0.0787,1.47,1.738,0.9565,1.21,0.962174378
Ba2HoTaO6,Ba,2,Ba,2,Ho,3,Ta,5,O,-2,O,-2,3,300,4,594.29,8.01,Fm-3m,225,23,0,0,0,0,0,8,8,67,73,56,56,15.9994,15.9994,164.93032,180.9479,137.327,137.327,3.5,3.5,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.071,1.21,1.21,1.49,1.49,0.78,1.26,1.26,1.041,3,2,2,5,16,16,1.4,1.4,0.901,0.64,1.35,1.35,13.61806,13.61806,6.0215,7.5496,5.2117,5.2117,87,87,33,48,9,9,3.44,3.44,1.23,1.5,0.89,0.89,2,2,6,6,6,6,2,2,3,6,3,3,0.285,0.285,-300,1.28,1.515,1.515,1897,1897,2700,-182.962,-182.962,5458,20.6,20.6,11.2,6.3,3.62,3.62,8.8,16.4,51.8,51.8,103,202.1,727,727,1474,3007,0.205,0.205,0.165,0.14,0.184,0.184,0.162,0.575,1.738,0.924,1.21,0.976827925
Ba2InTaO6,Ba,2,Ba,2,In,3,Ta,5,O,-2,O,-2,3,300,4,568.24,7.79,Fm-3m,225,23,0,0,0,0,0,8,8,49,73,56,56,15.9994,15.9994,114.818,180.9479,137.327,137.327,3.5,3.5,1.49,1.33,0.97,0.97,1.738,1.738,0.777,0.948,1.21,1.21,1.49,1.49,0.78,1.26,1.26,0.94,13,2,2,5,16,16,1.4,1.4,0.8,0.64,1.35,1.35,13.61806,13.61806,5.78636,7.5496,5.2117,5.2117,87,87,75,48,9,9,3.44,3.44,1.78,1.5,0.89,0.89,2,2,5,6,6,6,2,2,4,6,3,3,0.285,0.285,0.94,1.28,1.515,1.515,1897,1897,2072,-182.962,-182.962,5458,20.6,20.6,32.1,6.3,3.62,3.62,7.31,16.4,51.8,51.8,28.6,202.1,727,727,156.6,3007,0.205,0.205,0.233,0.14,0.184,0.184,0.816,0.575,1.738,0.8625,1.21,1.005814616
Ba2LaNbO6,Ba,2,Ba,2,La,3,Nb,5,O,-2,O,-2,NaN,300,2,312.11,6.41,C12/m1,12,-300,0,0,0,0,0,8,8,57,41,56,56,15.9994,15.9994,138.9055,92.90638,137.327,137.327,3.5,3.5,1.08,1.23,0.97,0.97,1.738,1.738,0.768,1.218,1.21,1.21,1.49,1.49,0.78,1.26,1.26,1.172,3,2,2,5,16,16,1.4,1.4,1.03,0.64,1.35,1.35,13.61806,13.61806,5.5769,6.75885,5.2117,5.2117,87,87,13,47,9,9,3.44,3.44,1.1,1.6,0.89,0.89,2,2,6,5,6,6,2,2,4,6,3,3,0.285,0.285,1.375,1.23,1.515,1.515,1897,1897,3464,-182.962,-182.962,4744,20.6,20.6,12.1,7.3,3.62,3.62,6.15,8.57,51.8,51.8,44.6,323,727,727,918,2477,0.205,0.205,0.195,0.265,0.184,0.184,0.134,0.537,1.738,0.993,1.21,0.946232769
Ba2LaUO6,Ba,2,Ba,2,La,3,U,5,O,-2,O,-2,5,300,2,349.48,7.1,P121/n1,14,10,11,0,0,0,0,8,8,57,92,56,56,15.9994,15.9994,138.9055,238.02891,137.327,137.327,3.5,3.5,1.08,-300,0.97,0.97,1.738,1.738,0.932,1.218,1.21,1.21,1.49,1.49,0.9,1.26,1.26,1.172,3,2,2,3,16,16,1.4,1.4,1.03,0.76,1.35,1.35,13.61806,13.61806,5.5769,6.19405,5.2117,5.2117,87,87,13,20,9,9,3.44,3.44,1.1,1.7,0.89,0.89,2,2,6,7,6,6,2,2,4,6,3,3,0.285,0.285,1.375,-300,1.515,1.515,1897,1897,3464,-182.962,-182.962,4131,20.6,20.6,12.1,13.9,3.62,3.62,6.15,19.1,51.8,51.8,44.6,38.4,727,727,918,1135,0.205,0.205,0.195,0.116,0.184,0.184,0.134,0.276,1.738,1.075,1.21,0.912276057
Ba2NdUO6,Ba,2,Ba,2,Nd,3,U,5,O,-2,O,-2,5,300,2,341.31,7.33,P121/n1,14,10,11,0,0,0,0,8,8,60,92,56,56,15.9994,15.9994,144.24,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.151,1.21,1.21,1.49,1.49,0.9,1.26,1.26,1.123,3,2,2,3,16,16,1.4,1.4,0.98,0.76,1.35,1.35,13.61806,13.61806,5.525,6.19405,5.2117,5.2117,87,87,19,20,9,9,3.44,3.44,1.14,1.7,0.89,0.89,2,2,6,7,6,6,2,2,3,6,3,3,0.285,0.285,-300,-300,1.515,1.515,1897,1897,3074,-182.962,-182.962,4131,20.6,20.6,9.6,13.9,3.62,3.62,7.01,19.1,51.8,51.8,49.5,38.4,727,727,1021,1135,0.205,0.205,0.191,0.116,0.184,0.184,0.165,0.276,1.738,1.0415,1.21,0.925849785
Ba2SmUO6,Ba,2,Ba,2,Sm,3,U,5,O,-2,O,-2,5,300,2,337.56,7.47,P121/n1,14,10,11,0,0,0,0,8,8,62,92,56,56,15.9994,15.9994,150.36,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.134,1.21,1.21,1.49,1.49,0.9,1.26,1.26,1.098,3,2,2,3,16,16,1.4,1.4,0.96,0.76,1.35,1.35,13.61806,13.61806,5.6436,6.19405,5.2117,5.2117,87,87,23,20,9,9,3.44,3.44,1.17,1.7,0.89,0.89,2,2,6,7,6,6,2,2,3,6,3,3,0.285,0.285,-300,-300,1.515,1.515,1897,1897,1794,-182.962,-182.962,4131,20.6,20.6,12.7,13.9,3.62,3.62,7.52,19.1,51.8,51.8,57.3,38.4,727,727,1074,1135,0.205,0.205,0.196,0.116,0.184,0.184,0.133,0.276,1.738,1.033,1.21,0.929358355
Ba2YTaO6,Ba,2,Ba,2,Y,3,Ta,5,O,-2,O,-2,3,300,4,601.54,7.07,Fm-3m,225,23,0,0,0,0,0,8,8,39,73,56,56,15.9994,15.9994,88.90585,180.9479,137.327,137.327,3.5,3.5,1.11,1.33,0.97,0.97,1.738,1.738,0.777,1.065,1.21,1.21,1.49,1.49,0.78,1.26,1.26,1.04,3,2,2,5,16,16,1.4,1.4,0.9,0.64,1.35,1.35,13.61806,13.61806,6.2171,7.5496,5.2117,5.2117,87,87,12,48,9,9,3.44,3.44,1.22,1.5,0.89,0.89,2,2,5,6,6,6,2,2,4,6,3,3,0.285,0.285,1.32,1.28,1.515,1.515,1897,1897,3345,-182.962,-182.962,5458,20.6,20.6,10.6,6.3,3.62,3.62,4.47,16.4,51.8,51.8,128,202.1,727,727,1522,3007,0.205,0.205,0.298,0.14,0.184,0.184,0.172,0.575,1.738,0.921,1.21,0.978203093
BaCrO3,Ba,2,Ba,2,Cr,4,Cr,4,O,-2,O,-2,6,300,6,329.06,7.19,P63/mmc,194,-300,0,0,0,0,0,8,8,24,24,56,56,15.9994,15.9994,51.9961,51.9961,137.327,137.327,3.5,3.5,1.56,1.56,0.97,0.97,1.738,1.738,0.75,0.75,1.21,1.21,1.49,1.49,0.69,1.26,1.26,0.69,6,2,2,6,16,16,1.4,1.4,0.55,0.55,1.35,1.35,13.61806,13.61806,6.7665,6.7665,5.2117,5.2117,87,87,49,49,9,9,3.44,3.44,1.66,1.66,0.89,0.89,2,2,4,4,6,6,2,2,6,6,3,3,0.285,0.285,1.07,1.07,1.515,1.515,1897,1897,2671,-182.962,-182.962,2671,20.6,20.6,4.9,4.9,3.62,3.62,7.15,7.15,51.8,51.8,404,404,727,727,1907,1907,0.205,0.205,0.45,0.45,0.184,0.184,0.937,0.937,1.738,0.75,1.21,1.063546322
BaPbO3,Ba,2,Ba,2,Pb,4,Pb,4,O,-2,O,-2,5,300,4,310.18,8.41,I12/m1,12,-300,0,0,0,0,0,8,8,82,82,56,56,15.9994,15.9994,207.2,207.2,137.327,137.327,3.5,3.5,1.55,1.55,0.97,0.97,1.738,1.738,0.982,0.982,1.21,1.21,1.49,1.49,0.915,1.26,1.26,0.915,14,2,2,14,16,16,1.4,1.4,0.78,0.78,1.35,1.35,13.61806,13.61806,7.41666,7.41666,5.2117,5.2117,87,87,81,81,9,9,3.44,3.44,1.8,1.8,0.89,0.89,2,2,6,6,6,6,2,2,5,5,3,3,0.285,0.285,0.96,0.96,1.515,1.515,1897,1897,1749,-182.962,-182.962,1749,20.6,20.6,28.9,28.9,3.62,3.62,11.3,11.3,51.8,51.8,23.1,23.1,727,727,327.46,327.46,0.205,0.205,0.127,0.127,0.184,0.184,0.353,0.353,1.738,0.982,1.21,0.9509812
BaTbO3,Ba,2,Ba,2,Tb,4,Tb,4,O,-2,O,-2,5,300,2,156.89,7.28,P-1,2,8,9,12,12,13,19,8,8,65,65,56,56,15.9994,15.9994,158.92534,158.92534,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,-300,-300,1.21,1.21,1.49,1.49,0.9,1.26,1.26,0.9,3,2,2,3,16,16,1.4,1.4,0.76,0.76,1.35,1.35,13.61806,13.61806,5.8638,5.8638,5.2117,5.2117,87,87,29,29,9,9,3.44,3.44,-300,-300,0.89,0.89,2,2,6,6,6,6,2,2,3,3,3,3,0.285,0.285,-300,-300,1.515,1.515,1897,1897,3230,-182.962,-182.962,3230,20.6,20.6,10.3,10.3,3.62,3.62,8.23,8.23,51.8,51.8,67.9,67.9,727,727,1356,1356,0.205,0.205,0.182,0.182,0.184,0.184,0.111,0.111,1.738,-300,1.21,-300
BaVS3,Ba,2,Ba,2,V,4,V,4,S,-2,S,-2,6,300,2,219.41,4.31,P63/mmc,194,-300,0,0,0,0,0,16,16,23,23,56,56,32.065,32.065,50.9415,50.9415,137.327,137.327,2.44,2.44,1.45,1.45,0.97,0.97,1.738,1.738,0.724,0.724,-300,-300,1.49,1.49,0.72,1.7,1.7,0.72,5,2,2,5,16,16,1.84,1.84,0.58,0.58,1.35,1.35,10.36001,10.36001,6.7462,6.7462,5.2117,5.2117,88,88,46,46,9,9,2.58,2.58,1.63,1.63,0.89,0.89,3,3,4,4,6,6,6,6,5,5,3,3,0.54,0.54,1.09,1.09,1.515,1.515,1897,1897,3407,444.61,444.61,3407,20.6,20.6,8.4,8.4,3.62,3.62,6,6,51.8,51.8,422,422,727,727,1910,1910,0.205,0.205,0.489,0.489,0.184,0.184,0.307,0.307,1.738,0.724,-300,0.704710978
Bi2NiMnO6,Bi,3,Bi,3,Ni,2,Mn,4,O,-2,O,-2,16,300,4,466.01,8.95,C121,5,-300,0,0,0,0,0,8,8,28,25,83,83,15.9994,15.9994,58.6934,54.938049,208.98038,208.98038,3.5,3.5,1.75,1.6,1.67,1.67,1.397,1.397,0.693,0.85,1.21,1.21,1.17,1.17,0.67,1.26,1.26,0.83,10,15,15,7,16,16,1.4,1.4,0.69,0.53,1.03,1.03,13.61806,13.61806,7.6398,7.43402,7.2856,7.2856,87,87,55,52,86,86,3.44,3.44,1.91,1.55,1.9,1.9,2,2,4,4,6,6,2,2,2,4,6,6,0.285,0.285,0.96,0.99,0.92,0.92,1564,1564,2913,-182.962,-182.962,2061,13.4,13.4,13.4,21.7,9.79,9.79,8.9,7.3,53.3,53.3,290.3,235,271.4,271.4,1455,1246,0.122,0.122,0.445,0.479,0.0787,0.0787,0.907,0.0782,1.397,0.7715,1.21,0.930319141
BiCoO3,Bi,3,Bi,3,Co,3,Co,3,O,-2,O,-2,NaN,300,1,65.77,7.98,P4mm,99,-300,0,0,0,0,0,8,8,27,27,83,83,15.9994,15.9994,58.9332,58.9332,208.98038,208.98038,3.5,3.5,1.7,1.7,1.67,1.67,1.397,1.397,0.683,0.683,1.21,1.21,1.17,1.17,0.75,1.26,1.26,0.75,9,15,15,9,16,16,1.4,1.4,0.55,0.55,1.03,1.03,13.61806,13.61806,7.881,7.881,7.2856,7.2856,87,87,58,58,86,86,3.44,3.44,1.88,1.88,1.9,1.9,2,2,4,4,6,6,2,2,4,4,6,6,0.285,0.285,0.92,0.92,0.92,0.92,1564,1564,2927,-182.962,-182.962,2927,13.4,13.4,13,13,9.79,9.79,8.86,8.86,53.3,53.3,272.5,272.5,271.4,271.4,1495,1495,0.122,0.122,0.421,0.421,0.0787,0.0787,1,1,1.397,0.683,1.21,0.973812667
BiMnO3,Bi,3,Bi,3,Mn,3,Mn,3,O,-2,O,-2,5,300,8,496.66,8.34,C12/c1,15,13,0,0,0,0,0,8,8,25,25,83,83,15.9994,15.9994,54.938049,54.938049,208.98038,208.98038,3.5,3.5,1.6,1.6,1.67,1.67,1.397,1.397,0.806,0.806,1.21,1.21,1.17,1.17,0.72,1.26,1.26,0.72,7,15,15,7,16,16,1.4,1.4,0.58,0.58,1.03,1.03,13.61806,13.61806,7.43402,7.43402,7.2856,7.2856,87,87,52,52,86,86,3.44,3.44,1.55,1.55,1.9,1.9,2,2,4,4,6,6,2,2,4,4,6,6,0.285,0.285,0.99,0.99,0.92,0.92,1564,1564,2061,-182.962,-182.962,2061,13.4,13.4,21.7,21.7,9.79,9.79,7.3,7.3,53.3,53.3,235,235,271.4,271.4,1246,1246,0.122,0.122,0.479,0.479,0.0787,0.0787,0.0782,0.0782,1.397,0.806,1.21,0.914398501
Ca2CrOsO6,Ca,2,Ca,2,Cr,3,Os,5,O,-2,O,-2,NaN,300,2,223.24,6.22,P121/n1,14,10,11,0,0,0,0,8,8,24,76,20,20,15.9994,15.9994,51.9961,190.23,40.078,40.078,3.5,3.5,1.56,1.52,1.04,1.04,1.42,1.42,-300,0.77,1.21,1.21,1.14,1.14,0.715,1.26,1.26,0.755,6,2,2,8,16,16,1.4,1.4,0.62,0.58,1,1,13.61806,13.61806,6.7665,8.4382,6.11316,6.11316,87,87,49,57,7,7,3.44,3.44,1.66,2.2,1,1,2,2,4,6,4,4,2,2,6,6,2,2,0.285,0.285,1.07,1.17,1.32,1.32,1484,1484,2671,-182.962,-182.962,5012,22.3,22.3,4.9,5.1,1.54,1.54,7.15,22.59,213.1,213.1,404,304.1,842,842,1907,3033,0.646,0.646,0.45,0.13,2,2,0.937,0.876,1.42,-149.615,1.21,-300
Ca2NiOsO6,Ca,2,Ca,2,Ni,2,Os,6,O,-2,O,-2,5,300,2,227.3,6.21,P121/n1,14,10,11,0,0,0,0,8,8,28,76,20,20,15.9994,15.9994,58.6934,190.23,40.078,40.078,3.5,3.5,1.75,1.52,1.04,1.04,1.42,1.42,0.82,0.85,1.21,1.21,1.14,1.14,0.685,1.26,1.26,0.83,10,2,2,8,16,16,1.4,1.4,0.69,0.55,1,1,13.61806,13.61806,7.6398,8.4382,6.11316,6.11316,87,87,55,57,7,7,3.44,3.44,1.91,2.2,1,1,2,2,4,6,4,4,2,2,2,6,2,2,0.285,0.285,0.96,1.17,1.32,1.32,1484,1484,2913,-182.962,-182.962,5012,22.3,22.3,13.4,5.1,1.54,1.54,8.9,22.59,213.1,213.1,290.3,304.1,842,842,1455,3033,0.646,0.646,0.445,0.13,2,2,0.907,0.876,1.42,0.835,1.21,0.909384271
CaCrO3,Ca,2,Ca,2,Cr,4,Cr,4,O,-2,O,-2,5,300,4,210.78,4.41,Pbnm,62,10,11,0,0,0,0,8,8,24,24,20,20,15.9994,15.9994,51.9961,51.9961,40.078,40.078,3.5,3.5,1.56,1.56,1.04,1.04,1.42,1.42,0.75,0.75,1.21,1.21,1.14,1.14,0.69,1.26,1.26,0.69,6,2,2,6,16,16,1.4,1.4,0.55,0.55,1,1,13.61806,13.61806,6.7665,6.7665,6.11316,6.11316,87,87,49,49,7,7,3.44,3.44,1.66,1.66,1,1,2,2,4,4,4,4,2,2,6,6,2,2,0.285,0.285,1.07,1.07,1.32,1.32,1484,1484,2671,-182.962,-182.962,2671,22.3,22.3,4.9,4.9,1.54,1.54,7.15,7.15,213.1,213.1,404,404,842,842,1907,1907,0.646,0.646,0.45,0.45,2,2,0.937,0.937,1.42,0.75,1.21,0.948821854
CaRuO3,Ca,2,Ca,2,Ru,4,Ru,4,O,-2,O,-2,5,300,4,227.09,5.53,Pbnm,62,10,11,0,0,0,0,8,8,44,44,20,20,15.9994,15.9994,101.07,101.07,40.078,40.078,3.5,3.5,1.42,1.42,1.04,1.04,1.42,1.42,0.774,0.774,1.21,1.21,1.14,1.14,0.76,1.26,1.26,0.76,8,2,2,8,16,16,1.4,1.4,0.62,0.62,1,1,13.61806,13.61806,7.3605,7.3605,6.11316,6.11316,87,87,56,56,7,7,3.44,3.44,2.2,2.2,1,1,2,2,5,5,4,4,2,2,6,6,2,2,0.285,0.285,1.145,1.145,1.32,1.32,1484,1484,4150,-182.962,-182.962,4150,22.3,22.3,6.4,6.4,1.54,1.54,12.1,12.1,213.1,213.1,381.8,381.8,842,842,2333,2333,0.646,0.646,0.238,0.238,2,2,1.17,1.17,1.42,0.774,1.21,0.937344171
CeAlO3,Ce,3,Ce,3,Al,3,Al,3,O,-2,O,-2,NaN,300,4,215.06,6.64,I4/mcm,140,22,0,0,0,0,0,8,8,13,13,58,58,15.9994,15.9994,26.981538,26.981538,140.116,140.116,3.5,3.5,1.47,1.47,-300,-300,1.454,1.454,0.666,0.666,1.21,1.21,1.15,1.15,0.675,1.26,1.26,0.675,13,3,3,13,16,16,1.4,1.4,0.54,0.54,1.01,1.01,13.61806,13.61806,5.98577,5.98577,5.5387,5.5387,87,87,73,73,15,15,3.44,3.44,1.61,1.61,1.12,1.12,2,2,3,3,6,6,2,2,3,3,4,4,0.285,0.285,0.77,0.77,-300,-300,3443,3443,2519,-182.962,-182.962,2519,6.3,6.3,23.1,23.1,6.77,6.77,2.7,2.7,39,39,399.9,399.9,798,798,660.32,660.32,0.192,0.192,0.904,0.904,0.113,0.113,2.37,2.37,1.454,0.666,1.21,1.004121783
ErMnO3,Er,3,Er,3,Mn,3,Mn,3,O,-2,O,-2,5,300,4,222.7,8.06,Pbnm,62,10,11,0,0,0,0,8,8,25,25,68,68,15.9994,15.9994,54.938049,54.938049,167.259,167.259,3.5,3.5,1.6,1.6,-300,-300,1.291,1.291,0.806,0.806,1.21,1.21,1.03,1.03,0.72,1.26,1.26,0.72,7,3,3,7,16,16,1.4,1.4,0.58,0.58,0.89,0.89,13.61806,13.61806,7.43402,7.43402,6.1077,6.1077,87,87,52,52,35,35,3.44,3.44,1.55,1.55,1.24,1.24,2,2,4,4,6,6,2,2,4,4,3,3,0.285,0.285,0.99,0.99,-300,-300,2868,2868,2061,-182.962,-182.962,2061,12.2,12.2,21.7,21.7,9.07,9.07,7.3,7.3,119,119,235,235,1529,1529,1246,1246,0.168,0.168,0.479,0.479,0.145,0.145,0.0782,0.0782,1.291,0.806,1.21,0.877219276
K3MoO3F3,K,1,K,1,K,1,Mo,6,O,-2,F,-1,4,300,80,13103.89,3.23,I41,80,-300,0,0,0,0,0,8,9,19,42,19,19,15.9994,18.9984032,39.0983,95.94,39.0983,39.0983,3.5,4.1,0.91,1.3,0.91,0.91,1.841,1.841,0.7,1.585,1.21,1.145,1.52,1.52,0.73,1.26,1.19,1.52,1,1,1,6,16,17,1.4,1.33,1.38,0.59,1.38,1.38,13.61806,17.42282,4.34066,7.09243,4.34066,4.34066,87,93,3,50,3,3,3.44,3.98,0.82,2.16,0.82,0.82,2,2,4,5,4,4,2,1,1,6,1,1,0.285,0.25,1.54,1.22,1.54,1.54,759,759,759,-182.962,-188.11,4639,83.3,83.3,83.3,4.8,0.89,0.89,0.89,10.2,59.6,59.6,59.6,390.7,63.38,63.38,63.38,2622,0.757,0.757,0.757,0.251,1.024,1.024,1.024,1.38,1.841,1.1425,1.1775,0.920000784
KAsO3,K,1,K,1,As,5,As,5,O,-2,O,-2,NaN,300,24,2087.34,3.09,P121/c1,14,10,11,0,0,0,0,8,8,33,33,19,19,15.9994,15.9994,74.9216,74.9216,39.0983,39.0983,3.5,3.5,2.02,2.02,0.91,0.91,1.841,1.841,0.624,0.624,1.21,1.21,1.52,1.52,0.6,1.26,1.26,0.6,15,1,1,15,16,16,1.4,1.4,0.46,0.46,1.38,1.38,13.61806,13.61806,9.7886,9.7886,4.34066,4.34066,87,87,84,84,3,3,3.44,3.44,2.18,2.18,0.82,0.82,2,2,4,4,4,4,2,2,6,6,1,1,0.285,0.285,0.67,0.67,1.54,1.54,759,759,-300,-182.962,-182.962,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,-300,-300,1.841,0.624,1.21,1.176326494
KCaF3,K,1,K,1,Ca,2,Ca,2,F,-1,F,-1,5,300,4,335.69,2.69,Pbnm,62,10,11,0,0,0,0,9,9,20,20,19,19,18.9984032,18.9984032,40.078,40.078,39.0983,39.0983,4.1,4.1,1.04,1.04,0.91,0.91,1.841,1.841,1.163,1.163,1.145,1.145,1.52,1.52,1.14,1.19,1.19,1.14,2,1,1,2,17,17,1.33,1.33,1,1,1.38,1.38,17.42282,17.42282,6.11316,6.11316,4.34066,4.34066,93,93,7,7,3,3,3.98,3.98,1,1,0.82,0.82,2,2,4,4,4,4,1,1,2,2,1,1,0.25,0.25,1.32,1.32,1.54,1.54,759,759,1484,-188.11,-188.11,1484,83.3,83.3,22.3,22.3,0.89,0.89,1.54,1.54,59.6,59.6,213.1,213.1,63.38,63.38,842,842,0.757,0.757,0.646,0.646,1.024,1.024,2,2,1.841,1.163,1.145,0.914827057
