Compound,A,OxidationStateofA,Aprime,OxidationStateofAprime,B,OxidationStateofB,Bprime,OxidationStateofBprime,X,OxidationStateofX,Xprime,OxidationStateofXprime,GroupCat,Temperature,Z,Volume,CalculatedDensity,SpaceGroup,SpaceGroupNumber,TiltAll_1,TiltAll_2,TiltAll_3,TiltAll_4,TiltAll_5,TiltAll_6,ZofX,ZofXprime,ZofB,ZofBprime,ZofA,ZofAprime,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,r_VIIofB,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofX,CrystalRadiusofXprime,CrystalRadiusofB,GroupofB,GroupofA,GroupofAprime,GroupofBprime,GroupofX,GroupofXprime,IonicRadiiofX,IonicRadiiofXprime,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,MendeleevNumberofX,MendeleevNumberofXprime,MendeleevNumberofB,MendeleevNumberofBprime,MendeleevNumberofA,MendeleevNumberofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,PeriodofX,PeriodofXprime,PeriodofB,PeriodofBprime,PeriodofA,PeriodofAprime,ValenceElectronsofX,ValenceElectronsofXprime,ValenceElectronsofB,ValenceElectronsofBprime,ValenceElectronsofA,ValenceElectronsofAprime,ZungerRadiiofX,ZungerRadiiofXprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofX,BoilingPtofXprime,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,rX,ToleranceBVP,Vc
AgBiO3,Ag,1,Ag,1,Bi,5,Bi,5,O,-2,O,-2,2,296,6,444.17,8.18,R-3H,-300,-300,0,0,0,0,0,8,8,83,83,47,47,15.9994,15.9994,208.98038,208.98038,107.8682,107.8682,3.5,3.5,1.67,1.67,1.42,1.42,1.551,1.551,0.917,0.917,1.21,1.21,0.974,1.29,1.29,0.9,1.26,1.26,0.9,15,11,11,15,16,16,1.4,1.4,0.76,0.76,1.15,1.15,13.61806,13.61806,7.2856,7.2856,7.5762,7.5762,87,87,86,86,65,65,3.44,3.44,1.9,1.9,1.93,1.93,2,2,6,6,5,5,2,2,6,6,2,2,0.285,0.285,0.92,0.92,1.045,1.045,2162,2162,1564,-182.962,-182.962,1564,18.9,18.9,13.4,13.4,10.5,10.5,9.79,9.79,104.6,104.6,53.3,53.3,961.78,961.78,271.4,271.4,0.235,0.235,0.122,0.122,4.29,4.29,0.0787,0.0787,1.551,0.917,1.21,0.917875798,110.0611401
AgCaCl3,Ag,1,Ag,1,Ca,2,Ca,2,Cl,-1,Cl,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,17,17,20,20,47,47,35.453,35.453,40.078,40.078,107.8682,107.8682,2.83,2.83,1.04,1.04,1.42,1.42,1.551,1.551,1.163,1.163,1.67,1.67,1.221,1.29,1.29,1.14,1.67,1.67,1.14,2,11,11,2,17,17,1.81,1.81,1,1,1.15,1.15,12.96764,12.96764,6.11316,6.11316,7.5762,7.5762,94,94,7,7,65,65,3.16,3.16,1,1,1.93,1.93,3,3,4,4,5,5,5,5,2,2,2,2,0.5,0.5,1.32,1.32,1.045,1.045,2162,2162,1484,-34.04,-34.04,1484,18.9,18.9,22.3,22.3,10.5,10.5,1.54,1.54,104.6,104.6,213.1,213.1,961.78,961.78,842,842,0.235,0.235,0.646,0.646,4.29,4.29,2,2,1.551,1.163,1.67,0.803950209,15.80383618
AgCdBr3,Ag,1,Ag,1,Cd,2,Cd,2,Br,-1,Br,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,35,35,48,48,47,47,79.904,79.904,112.411,112.411,107.8682,107.8682,2.74,2.74,1.46,1.46,1.42,1.42,1.551,1.551,1.1,1.1,1.82,1.82,1.158,1.29,1.29,1.09,1.82,1.82,1.09,12,11,11,12,17,17,1.96,1.96,0.95,0.95,1.15,1.15,11.81381,11.81381,8.9938,8.9938,7.5762,7.5762,95,95,70,70,65,65,2.96,2.96,1.69,1.69,1.93,1.93,4,4,5,5,5,5,2,2,3,3,2,2,0.58,0.58,0.985,0.985,1.045,1.045,2162,2162,767,58.8,58.8,767,18.9,18.9,30.8,30.8,10.5,10.5,8.69,8.69,104.6,104.6,55.2,55.2,961.78,961.78,321.07,321.07,0.235,0.235,0.231,0.231,4.29,4.29,0.968,0.968,1.551,1.1,1.82,0.816320876,16.22915153
AgCoF3,Ag,1,Ag,1,Co,2,Co,2,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,27,27,47,47,18.9984032,18.9984032,58.9332,58.9332,107.8682,107.8682,4.1,4.1,1.7,1.7,1.42,1.42,1.551,1.551,0.888,0.888,1.145,1.145,0.946,1.29,1.29,0.79,1.19,1.19,0.79,9,11,11,9,17,17,1.33,1.33,0.65,0.65,1.15,1.15,17.42282,17.42282,7.881,7.881,7.5762,7.5762,93,93,58,58,65,65,3.98,3.98,1.88,1.88,1.93,1.93,2,2,4,4,5,5,1,1,4,4,2,2,0.25,0.25,0.92,0.92,1.045,1.045,2162,2162,2927,-188.11,-188.11,2927,18.9,18.9,13,13,10.5,10.5,8.86,8.86,104.6,104.6,272.5,272.5,961.78,961.78,1495,1495,0.235,0.235,0.421,0.421,4.29,4.29,1,1,1.551,0.888,1.145,0.937707763,17.84524455
AgCuF3,Ag,1,Ag,1,Cu,2,Cu,2,F,-1,F,-1,5,293,4,251.7,6.03,P-1,2,8,9,12,12,13,19,9,9,29,29,47,47,18.9984032,18.9984032,63.546,63.546,107.8682,107.8682,4.1,4.1,1.75,1.75,1.42,1.42,1.551,1.551,0.875,0.875,1.145,1.145,0.933,1.29,1.29,0.87,1.19,1.19,0.87,11,11,11,11,17,17,1.33,1.33,0.73,0.73,1.15,1.15,17.42282,17.42282,7.72638,7.72638,7.5762,7.5762,93,93,64,64,65,65,3.98,3.98,1.9,1.9,1.93,1.93,2,2,4,4,5,5,1,1,2,2,2,2,0.25,0.25,0.88,0.88,1.045,1.045,2162,2162,2562,-188.11,-188.11,2562,18.9,18.9,16.5,16.5,10.5,10.5,8.96,8.96,104.6,104.6,203.5,203.5,961.78,961.78,1084.62,1084.62,0.235,0.235,0.384,0.384,4.29,4.29,4.01,4.01,1.551,0.875,1.145,0.943742516,17.95488242
AgMgCl3,Ag,1,Ag,1,Mg,2,Mg,2,Cl,-1,Cl,-1,16,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,17,17,12,12,47,47,35.453,35.453,24.305,24.305,107.8682,107.8682,2.83,2.83,1.23,1.23,1.42,1.42,1.551,1.551,0.889,0.889,1.67,1.67,0.947,1.29,1.29,0.86,1.67,1.67,0.86,2,11,11,2,17,17,1.81,1.81,0.72,0.72,1.15,1.15,12.96764,12.96764,7.64624,7.64624,7.5762,7.5762,94,94,68,68,65,65,3.16,3.16,1.31,1.31,1.93,1.93,3,3,3,3,5,5,5,5,2,2,2,2,0.5,0.5,0.9,0.9,1.045,1.045,2162,2162,1090,-34.04,-34.04,1090,18.9,18.9,24.8,24.8,10.5,10.5,1.74,1.74,104.6,104.6,348.9,348.9,961.78,961.78,650,650,0.235,0.235,1.024,1.024,4.29,4.29,1.56,1.56,1.551,0.889,1.67,0.89003163,17.8368663
AgMgF3,Ag,1,Ag,1,Mg,2,Mg,2,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,12,12,47,47,18.9984032,18.9984032,24.305,24.305,107.8682,107.8682,4.1,4.1,1.23,1.23,1.42,1.42,1.551,1.551,0.889,0.889,1.145,1.145,0.947,1.29,1.29,0.86,1.19,1.19,0.86,2,11,11,2,17,17,1.33,1.33,0.72,0.72,1.15,1.15,17.42282,17.42282,7.64624,7.64624,7.5762,7.5762,93,93,68,68,65,65,3.98,3.98,1.31,1.31,1.93,1.93,2,2,3,3,5,5,1,1,2,2,2,2,0.25,0.25,0.9,0.9,1.045,1.045,2162,2162,1090,-188.11,-188.11,1090,18.9,18.9,24.8,24.8,10.5,10.5,1.74,1.74,104.6,104.6,348.9,348.9,961.78,961.78,650,650,0.235,0.235,1.024,1.024,4.29,4.29,1.56,1.56,1.551,0.889,1.145,0.937246746,17.8368663
AgMgF3,Ag,1,Ag,1,Mg,2,Mg,2,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,12,12,47,47,18.9984032,18.9984032,24.305,24.305,107.8682,107.8682,4.1,4.1,1.23,1.23,1.42,1.42,1.551,1.551,0.889,0.889,1.145,1.145,0.947,1.29,1.29,0.86,1.19,1.19,0.86,2,11,11,2,17,17,1.33,1.33,0.72,0.72,1.15,1.15,17.42282,17.42282,7.64624,7.64624,7.5762,7.5762,93,93,68,68,65,65,3.98,3.98,1.31,1.31,1.93,1.93,2,2,3,3,5,5,1,1,2,2,2,2,0.25,0.25,0.9,0.9,1.045,1.045,2162,2162,1090,-188.11,-188.11,1090,18.9,18.9,24.8,24.8,10.5,10.5,1.74,1.74,104.6,104.6,348.9,348.9,961.78,961.78,650,650,0.235,0.235,1.024,1.024,4.29,4.29,1.56,1.56,1.551,0.889,1.145,0.937246746,17.8368663
AgMnF3,Ag,1,Ag,1,Mn,2,Mn,2,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,25,25,47,47,18.9984032,18.9984032,54.938049,54.938049,107.8682,107.8682,4.1,4.1,1.6,1.6,1.42,1.42,1.551,1.551,0.986,0.986,1.145,1.145,1.044,1.29,1.29,0.81,1.19,1.19,0.81,7,11,11,7,17,17,1.33,1.33,0.83,0.83,1.15,1.15,17.42282,17.42282,7.43402,7.43402,7.5762,7.5762,93,93,52,52,65,65,3.98,3.98,1.55,1.55,1.93,1.93,2,2,4,4,5,5,1,1,4,4,2,2,0.25,0.25,0.99,0.99,1.045,1.045,2162,2162,2061,-188.11,-188.11,2061,18.9,18.9,21.7,21.7,10.5,10.5,7.3,7.3,104.6,104.6,235,235,961.78,961.78,1246,1246,0.235,0.235,0.479,0.479,4.29,4.29,0.0782,0.0782,1.551,0.986,1.145,0.894584647,17.05993976
AgNbO3,Ag,1,Ag,1,Nb,5,Nb,5,O,-2,O,-2,5,1.5,8,483.81,6.83,Pbcm,57,-300,0,0,0,0,0,8,8,41,41,47,47,15.9994,15.9994,92.90638,92.90638,107.8682,107.8682,3.5,3.5,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,1.21,1.21,0.825,1.29,1.29,0.78,1.26,1.26,0.78,5,11,11,5,16,16,1.4,1.4,0.64,0.64,1.15,1.15,13.61806,13.61806,6.75885,6.75885,7.5762,7.5762,87,87,47,47,65,65,3.44,3.44,1.6,1.6,1.93,1.93,2,2,5,5,5,5,2,2,6,6,2,2,0.285,0.285,1.23,1.23,1.045,1.045,2162,2162,4744,-182.962,-182.962,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,1.551,0.768,1.21,0.987018111,118.2263371
