"feature","group_cat","lower","upper","est"
"DensityatSpecofA","LiNb03",0,0,NA
"DensityatSpecofA","Tilted",-0.058467125999895,0,0
"DensityatSpecofAprime","Cubic",0,0,0
"DensityatSpecofAprime","Hexagonal",0,0,NA
"DensityatSpecofAprime","LiNb03",0,0,NA
"DensityatSpecofAprime","Tilted",0,0,0
"DensityatSpecofB","Cubic",-0.128876746434615,0,0
"DensityatSpecofB","Hexagonal",0,0.104173040395003,NA
"DensityatSpecofB","LiNb03",-0.219988139733321,0,NA
"DensityatSpecofB","Tilted",0,0.148072063516731,0
"DensityatSpecofBprime","Cubic",-0.200118344515607,0,0
"DensityatSpecofBprime","Hexagonal",0,0.172394947317595,NA
"DensityatSpecofBprime","LiNb03",0,0,NA
"DensityatSpecofBprime","Tilted",-4.50381400451272e-05,0.0727610887863753,0
"EnthalpyofFusionofA","Cubic",0,0,0
"EnthalpyofFusionofA","Hexagonal",0,0,NA
"EnthalpyofFusionofA","LiNb03",0,0.0158005823239401,NA
"EnthalpyofFusionofA","Tilted",0,0,0
"EnthalpyofFusionofAprime","Cubic",0,0,0
"EnthalpyofFusionofAprime","Hexagonal",0,0,NA
"EnthalpyofFusionofAprime","LiNb03",0,0.0241301632354216,NA
"EnthalpyofFusionofAprime","Tilted",0,0,0
"EnthalpyofFusionofB","Cubic",-0.00373438570575976,0.00500789034625808,-0.000714354953994531
"EnthalpyofFusionofB","Hexagonal",0,0.0087163438099274,NA
"EnthalpyofFusionofB","LiNb03",-0.00567653625062611,0,NA
"EnthalpyofFusionofB","Tilted",-0.00281297719126129,0.00344184334783084,0
"EnthalpyofFusionofBprime","Cubic",-0.000124841239780171,0.00536601554322143,0
"EnthalpyofFusionofBprime","Hexagonal",0,0.0094350434478419,NA
"EnthalpyofFusionofBprime","LiNb03",-0.00448298020996184,0,NA
"EnthalpyofFusionofBprime","Tilted",-0.00488245663441431,0.000217875526437015,0
"IonicRadiiofA","Cubic",0,17.6077665849978,1.93643600639714e-13
"IonicRadiiofA","Hexagonal",0,0,NA
"IonicRadiiofA","LiNb03",-11.5752767311913,0,NA
"IonicRadiiofA","Tilted",-7.30943512722758,0,0
"IonicRadiiofAprime","Cubic",0,0,8.01283864716059e-15
"IonicRadiiofAprime","Hexagonal",0,0,NA
"IonicRadiiofAprime","LiNb03",-23.6804193624748,0,NA
"IonicRadiiofAprime","Tilted",0,0,0
"IonicRadiiofB","Cubic",-1.0817119989163,0.852227667900839,0
"IonicRadiiofB","Hexagonal",-6.26113164431038,0,NA
"IonicRadiiofB","LiNb03",0,0,NA
"IonicRadiiofB","Tilted",0,6.02802660095066,0
"IonicRadiiofBprime","Cubic",-5.05761323740583,0,0
"IonicRadiiofBprime","Hexagonal",0,0,NA
"IonicRadiiofBprime","LiNb03",0,0,NA
"IonicRadiiofBprime","Tilted",0,13.6197892649888,1.74793111009825
"IonizationPotentialofA","Cubic",-1.19595425917222,0,0
"IonizationPotentialofA","Hexagonal",0,0,NA
"IonizationPotentialofA","LiNb03",0,0.127504272625088,NA
"IonizationPotentialofA","Tilted",0,2.11634815961061,0
"IonizationPotentialofAprime","Cubic",0,0,0
"IonizationPotentialofAprime","Hexagonal",0,0,NA
"IonizationPotentialofAprime","LiNb03",0,0.719949507165492,NA
"IonizationPotentialofAprime","Tilted",0,0,0
"IonizationPotentialofB","Cubic",-0.0013262927042699,0.375481815086583,0
"IonizationPotentialofB","Hexagonal",-1.83484474769485,0,NA
"IonizationPotentialofB","LiNb03",0,0,NA
"IonizationPotentialofB","Tilted",0,1.4540946555921,0
"IonizationPotentialofBprime","Cubic",-1.48585256498723,0,0
"IonizationPotentialofBprime","Hexagonal",0,0.555909956090105,NA
"IonizationPotentialofBprime","LiNb03",-0.057108246789525,0,NA
"IonizationPotentialofBprime","Tilted",0,1.17396083840332,0
"MeltingPtofA","Cubic",-0.00335259303540327,0,0
"MeltingPtofA","Hexagonal",0,0,NA
"MeltingPtofA","LiNb03",0,0.00355460297934952,NA
"MeltingPtofA","Tilted",0,0.000283976600175668,0
"MeltingPtofAprime","Cubic",0,0,0
"MeltingPtofAprime","Hexagonal",0,0,NA
"MeltingPtofAprime","LiNb03",0,0.0008820104255219,NA
"MeltingPtofAprime","Tilted",0,0,0
"MeltingPtofB","Cubic",0,0.00235518226237903,0
"MeltingPtofB","Hexagonal",0,0.000157467907911665,NA
"MeltingPtofB","LiNb03",-0.00144446272912446,0,NA
"MeltingPtofB","Tilted",-0.000904363396610377,0,0
"MeltingPtofBprime","Cubic",0,0.00150754988222981,0
"MeltingPtofBprime","Hexagonal",0,0,NA
"MeltingPtofBprime","LiNb03",-0.000411044532844924,0,NA
"MeltingPtofBprime","Tilted",-0.000211869508655742,0,0
"PaulingENofA","Cubic",0,0,0
"PaulingENofA","Hexagonal",0,0,NA
"PaulingENofA","LiNb03",0,6.1844071067073,NA
"PaulingENofA","Tilted",0,0,0
"PaulingENofAprime","Cubic",0,0,0
"PaulingENofAprime","Hexagonal",0,0,NA
"PaulingENofAprime","LiNb03",0,3.11444697069203,NA
"PaulingENofAprime","Tilted",0,0,0
"PaulingENofB","Cubic",-1.03115700733426,1.97094215118071,0
"PaulingENofB","Hexagonal",0,3.50361390014387,NA
"PaulingENofB","LiNb03",0,0,NA
"PaulingENofB","Tilted",-4.10281483922535,0,0
"PaulingENofBprime","Cubic",-2.19104427646385,0,0
"PaulingENofBprime","Hexagonal",0,5.16639412737837,NA
"PaulingENofBprime","LiNb03",0,0,NA
"PaulingENofBprime","Tilted",-2.54418834776365,0,0
"r_VIIofB","Cubic",0,0.384881346909023,0
"r_VIIofB","Hexagonal",0,0,NA
"r_VIIofB","LiNb03",0,0,NA
"r_VIIofB","Tilted",0,2.17585594728585,0
"r_VIofB","Cubic",-0.0744794091030676,0,0
"r_VIofB","Hexagonal",-0.00766480098819968,0,NA
"r_VIofB","LiNb03",0,0,NA
"r_VIofB","Tilted",0,6.31499577877336,0
"r_VIofBprime","Cubic",0,2.97240300451687,0
"r_VIofBprime","Hexagonal",0,18.9403467206757,NA
"r_VIofBprime","LiNb03",0,0,NA
"r_VIofBprime","Tilted",-19.0520037463777,0,1.2119819614363
"r_XIIofA","Cubic",0,20.0045297760797,0
"r_XIIofA","Hexagonal",0,10.5234573955102,NA
"r_XIIofA","LiNb03",-8.72353348847309,0,NA
"r_XIIofA","Tilted",-20.9007756195291,0,0
"r_XIIofAprime","Cubic",0,0,0
"r_XIIofAprime","Hexagonal",0,25.2001637346247,NA
"r_XIIofAprime","LiNb03",-17.0384576871266,0,NA
"r_XIIofAprime","Tilted",0,0,0
"rA","Cubic",0,0,0
"rA","Hexagonal",0,0.933186141236499,NA
"rA","LiNb03",-0.943129554510134,0,NA
"rA","Tilted",0,0,0
"rB","Cubic",0,0,0
"rB","Hexagonal",0,0,NA
"rB","LiNb03",0,0,NA
"rB","Tilted",0,0,0
"SpecificHeatCapacityofA","Cubic",0,0.599552578222277,0
"SpecificHeatCapacityofA","Hexagonal",0,0,NA
"SpecificHeatCapacityofA","LiNb03",-2.43826353828905,0,NA
"SpecificHeatCapacityofA","Tilted",0,3.19680895353202,0
"SpecificHeatCapacityofAprime","Cubic",0,7.49170270887722,0
"SpecificHeatCapacityofAprime","Hexagonal",0,0,NA
"SpecificHeatCapacityofAprime","LiNb03",-1.51659821665,1.3313284444025,NA
"SpecificHeatCapacityofAprime","Tilted",0,0,0
"SpecificHeatCapacityofB","Cubic",-0.912003342868338,0,0
"SpecificHeatCapacityofB","Hexagonal",-0.315962718650871,0,NA
"SpecificHeatCapacityofB","LiNb03",0,0,NA
"SpecificHeatCapacityofB","Tilted",0,1.50872728327298,0
"SpecificHeatCapacityofBprime","Cubic",-3.87582719365698,0,0
"SpecificHeatCapacityofBprime","Hexagonal",0,0,NA
"SpecificHeatCapacityofBprime","LiNb03",0,4.66880880320373,NA
"SpecificHeatCapacityofBprime","Tilted",-7.99182697816425,0,0
"ThermalHeatConductivityofA","Cubic",-1.3513152523606,0,0
"ThermalHeatConductivityofA","Hexagonal",0,0,NA
"ThermalHeatConductivityofA","LiNb03",0,0.362433304872877,NA
"ThermalHeatConductivityofA","Tilted",0,0.779725600656589,0
"ThermalHeatConductivityofAprime","Cubic",-1.04284837512337e-14,0,0
"ThermalHeatConductivityofAprime","Hexagonal",0,0,NA
"ThermalHeatConductivityofAprime","LiNb03",0,0.97516936958924,NA
"ThermalHeatConductivityofAprime","Tilted",0,0,0
"ThermalHeatConductivityofB","Cubic",-0.136153531527728,0.10661349274403,0
"ThermalHeatConductivityofB","Hexagonal",-1.12873728423145,0,NA
"ThermalHeatConductivityofB","LiNb03",0,0,NA
"ThermalHeatConductivityofB","Tilted",0,1.70478424925315,0
"ThermalHeatConductivityofBprime","Cubic",-1.86707918103531,0,-0.785901708275399
"ThermalHeatConductivityofBprime","Hexagonal",0,1.25922131097344,NA
"ThermalHeatConductivityofBprime","LiNb03",0,0,NA
"ThermalHeatConductivityofBprime","Tilted",0,0.86709754151925,0.0375290689670265
"ToleranceBVP","Cubic",0,23.7263064475523,0
"ToleranceBVP","Hexagonal",0,93.5718782082048,NA
"ToleranceBVP","LiNb03",-38.9789585701138,0,NA
"ToleranceBVP","Tilted",-33.8980825120761,0,-8.26121293485071
"Vc","Cubic",0,0.0241918348447101,0
"Vc","Hexagonal",0,0.111892718293166,NA
"Vc","LiNb03",-0.0107981393446208,0,NA
"Vc","Tilted",-0.11887479125208,0,0
"ZungerRadiiofA","Cubic",0,0,0
"ZungerRadiiofA","Hexagonal",0,0,NA
"ZungerRadiiofA","LiNb03",-10.9846080103455,0,NA
"ZungerRadiiofA","Tilted",0,0,0
"ZungerRadiiofAprime","Cubic",0,0,0
"ZungerRadiiofAprime","Hexagonal",0,0,NA
"ZungerRadiiofAprime","LiNb03",-13.3739439464354,0,NA
"ZungerRadiiofAprime","Tilted",0,1.59566296669353,0
"ZungerRadiiofB","Cubic",-3.94912443583813,0.323749513157651,0
"ZungerRadiiofB","Hexagonal",0,0,NA
"ZungerRadiiofB","LiNb03",0,0,NA
"ZungerRadiiofB","Tilted",-1.11028564447415,1.62408432689288,0
"ZungerRadiiofBprime","Cubic",-6.1959042345153,0,0
"ZungerRadiiofBprime","Hexagonal",0,5.67565555747542,NA
"ZungerRadiiofBprime","LiNb03",-0.285232661918441,0,NA
"ZungerRadiiofBprime","Tilted",-0.274408156207794,0.692030868518225,0
"CalculatedDensity","Cubic",NA,NA,0
"GroupofA","Cubic",NA,NA,0
"GroupofAprime","Cubic",NA,NA,0
"GroupofB","Cubic",NA,NA,0
"GroupofBprime","Cubic",NA,NA,0
"MendeleevNumberofA","Cubic",NA,NA,0
"MendeleevNumberofAprime","Cubic",NA,NA,0
"MendeleevNumberofB","Cubic",NA,NA,0
"MendeleevNumberofBprime","Cubic",NA,NA,0
"PeriodofA","Cubic",NA,NA,0.40517723898673
"PeriodofAprime","Cubic",NA,NA,3.82609034039068e-15
"PeriodofB","Cubic",NA,NA,0
"PeriodofBprime","Cubic",NA,NA,0
"Temperature","Cubic",NA,NA,0.00383017981212187
"ValenceElectronsofA","Cubic",NA,NA,0
"ValenceElectronsofAprime","Cubic",NA,NA,0
"ValenceElectronsofB","Cubic",NA,NA,0
"ValenceElectronsofBprime","Cubic",NA,NA,0
"Volume","Cubic",NA,NA,0
