Compound,GroupCat,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,ToleranceBVP
RbCoF3,6,18.9984032,18.9984032,58.9332,58.9332,85.4678,85.4678,4.1,4.1,1.7,1.7,0.89,0.89,1.972,1.972,0.888,0.888,1.145,1.145,17.42282,17.42282,7.881,7.881,4.17713,4.17713,3.98,3.98,1.88,1.88,0.82,0.82,688,688,2927,2927,-300,-300,13,13,1.53,1.53,8.86,8.86,25.6,25.6,272.5,272.5,39.3,39.3,1495,1495,0.364,0.364,0.421,0.421,0.582,0.582,1,1,1.084137647
RbCrCl3,6,35.453,35.453,51.9961,51.9961,85.4678,85.4678,2.83,2.83,1.56,1.56,0.89,0.89,1.972,1.972,0.926,0.926,1.67,1.67,12.96764,12.96764,6.7665,6.7665,4.17713,4.17713,3.16,3.16,1.66,1.66,0.82,0.82,688,688,2671,2671,-300,-300,4.9,4.9,1.53,1.53,7.15,7.15,25.6,25.6,404,404,39.3,39.3,1907,1907,0.364,0.364,0.45,0.45,0.582,0.582,0.937,0.937,0.992019606
RbCuCl3,6,35.453,35.453,63.546,63.546,85.4678,85.4678,2.83,2.83,1.75,1.75,0.89,0.89,1.972,1.972,0.875,0.875,1.67,1.67,12.96764,12.96764,7.72638,7.72638,4.17713,4.17713,3.16,3.16,1.9,1.9,0.82,0.82,688,688,2562,2562,-300,-300,16.5,16.5,1.53,1.53,8.96,8.96,25.6,25.6,203.5,203.5,39.3,39.3,1084.62,1084.62,0.364,0.364,0.384,0.384,0.582,0.582,4.01,4.01,1.011898977
RbCuF3,5,18.9984032,18.9984032,63.546,63.546,85.4678,85.4678,4.1,4.1,1.75,1.75,0.89,0.89,1.972,1.972,0.875,0.875,1.145,1.145,17.42282,17.42282,7.72638,7.72638,4.17713,4.17713,3.98,3.98,1.9,1.9,0.82,0.82,688,688,2562,2562,-300,-300,16.5,16.5,1.53,1.53,8.96,8.96,25.6,25.6,203.5,203.5,39.3,39.3,1084.62,1084.62,0.364,0.364,0.384,0.384,0.582,0.582,4.01,4.01,1.091114771
RbFeF3,3,18.9984032,18.9984032,55.845,55.845,85.4678,85.4678,4.1,4.1,1.64,1.64,0.89,0.89,1.972,1.972,0.93,0.93,1.145,1.145,17.42282,17.42282,7.9024,7.9024,4.17713,4.17713,3.98,3.98,1.83,1.83,0.82,0.82,688,688,2861,2861,-300,-300,11.8,11.8,1.53,1.53,7.87,7.87,25.6,25.6,247.3,247.3,39.3,39.3,1538,1538,0.364,0.364,0.449,0.449,0.582,0.582,0.802,0.802,1.062193656
RbGeBr3,NaN,79.904,79.904,72.64,72.64,85.4678,85.4678,2.74,2.74,-300,-300,0.89,0.89,1.972,1.972,-300,-300,1.82,1.82,11.81381,11.81381,7.8994,7.8994,4.17713,4.17713,2.96,2.96,2.01,2.01,0.82,0.82,688,688,-300,-300,-300,-300,-300,-300,1.53,1.53,-300,-300,25.6,25.6,-300,-300,39.3,39.3,-300,-300,0.364,0.364,-300,-300,0.582,0.582,-300,-300,-300
RbGeI3,NaN,126.90447,126.90447,72.64,72.64,85.4678,85.4678,2.21,2.21,-300,-300,0.89,0.89,1.972,1.972,-300,-300,2.06,2.06,10.45126,10.45126,7.8994,7.8994,4.17713,4.17713,2.66,2.66,2.01,2.01,0.82,0.82,688,688,-300,-300,-300,-300,-300,-300,1.53,1.53,-300,-300,25.6,25.6,-300,-300,39.3,39.3,-300,-300,0.364,0.364,-300,-300,0.582,0.582,-300,-300,-300
RbHgF3,3,18.9984032,18.9984032,200.59,200.59,85.4678,85.4678,4.1,4.1,1.44,1.44,0.89,0.89,1.972,1.972,1.168,1.168,1.145,1.145,17.42282,17.42282,10.4375,10.4375,4.17713,4.17713,3.98,3.98,1.9,1.9,0.82,0.82,688,688,356.62,356.62,-300,-300,60.4,60.4,1.53,1.53,13.5336,13.5336,25.6,25.6,11.4,11.4,39.3,39.3,-38.83,-38.83,0.364,0.364,0.139,0.139,0.582,0.582,0.0834,0.0834,0.952897465
RbMgF3,NaN,18.9984032,18.9984032,24.305,24.305,85.4678,85.4678,4.1,4.1,1.23,1.23,0.89,0.89,1.972,1.972,0.889,0.889,1.145,1.145,17.42282,17.42282,7.64624,7.64624,4.17713,4.17713,3.98,3.98,1.31,1.31,0.82,0.82,688,688,1090,1090,-300,-300,24.8,24.8,1.53,1.53,1.74,1.74,25.6,25.6,348.9,348.9,39.3,39.3,650,650,0.364,0.364,1.024,1.024,0.582,0.582,1.56,1.56,1.08360464
RbMnCl3,6,35.453,35.453,54.938049,54.938049,85.4678,85.4678,2.83,2.83,1.6,1.6,0.89,0.89,1.972,1.972,0.986,0.986,1.67,1.67,12.96764,12.96764,7.43402,7.43402,4.17713,4.17713,3.16,3.16,1.55,1.55,0.82,0.82,688,688,2061,2061,-300,-300,21.7,21.7,1.53,1.53,7.3,7.3,25.6,25.6,235,235,39.3,39.3,1246,1246,0.364,0.364,0.479,0.479,0.582,0.582,0.0782,0.0782,0.969609525
