Compound,GroupCat,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,ToleranceBVP
Ba2SrUO6,5,15.9994,15.9994,87.62,238.02891,137.327,137.327,3.5,3.5,0.99,-300,0.97,0.97,1.738,1.738,0.84,1.314,1.21,1.21,13.61806,13.61806,5.6949,6.19405,5.2117,5.2117,3.44,3.44,0.95,1.7,0.89,0.89,1897,1897,1382,4131,20.6,20.6,22.5,13.9,3.62,3.62,2.64,19.1,51.8,51.8,84.8,38.4,727,727,777,1135,0.205,0.205,0.306,0.116,0.184,0.184,0.353,0.276,0.911478265
AgNbO3,5,15.9994,15.9994,92.90638,92.90638,107.8682,107.8682,3.5,3.5,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,1.21,1.21,13.61806,13.61806,6.75885,6.75885,7.5762,7.5762,3.44,3.44,1.6,1.6,1.93,1.93,2162,2162,4744,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,0.987018111
Sr2LiReSe6,16,78.96,78.96,6.941,186.207,87.62,87.62,2.48,2.48,0.97,1.46,0.99,0.99,1.571,1.571,0.7,0.919,-300,-300,9.75238,9.75238,5.39172,7.8335,5.6949,5.6949,2.55,2.55,0.98,1.9,0.95,0.95,1382,1382,1342,5596,22.5,22.5,46,6.2,2.64,2.64,0.534,20.8,84.8,84.8,432,324.5,777,777,180.5,3186,0.306,0.306,3.57,0.137,0.353,0.353,0.847,0.479,0.705307052
Ba2BiIrO6,5,15.9994,15.9994,208.98038,192.217,137.327,137.327,3.5,3.5,1.67,1.55,0.97,0.97,1.738,1.738,0.773,1.14,1.21,1.21,13.61806,13.61806,7.2856,8.967,5.2117,5.2117,3.44,3.44,1.9,2.2,0.89,0.89,1897,1897,1564,4428,20.6,20.6,13.4,6.4,3.62,3.62,9.79,22.5,51.8,51.8,53.3,213.9,727,727,271.4,2446,0.205,0.205,0.122,0.131,0.184,0.184,0.0787,1.47,0.962174378
Ba2HoTaO6,3,15.9994,15.9994,164.93032,180.9479,137.327,137.327,3.5,3.5,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.071,1.21,1.21,13.61806,13.61806,6.0215,7.5496,5.2117,5.2117,3.44,3.44,1.23,1.5,0.89,0.89,1897,1897,2700,5458,20.6,20.6,11.2,6.3,3.62,3.62,8.8,16.4,51.8,51.8,103,202.1,727,727,1474,3007,0.205,0.205,0.165,0.14,0.184,0.184,0.162,0.575,0.976827925
Ba2InTaO6,3,15.9994,15.9994,114.818,180.9479,137.327,137.327,3.5,3.5,1.49,1.33,0.97,0.97,1.738,1.738,0.777,0.948,1.21,1.21,13.61806,13.61806,5.78636,7.5496,5.2117,5.2117,3.44,3.44,1.78,1.5,0.89,0.89,1897,1897,2072,5458,20.6,20.6,32.1,6.3,3.62,3.62,7.31,16.4,51.8,51.8,28.6,202.1,727,727,156.6,3007,0.205,0.205,0.233,0.14,0.184,0.184,0.816,0.575,1.005814616
Ba2LaNbO6,NaN,15.9994,15.9994,138.9055,92.90638,137.327,137.327,3.5,3.5,1.08,1.23,0.97,0.97,1.738,1.738,0.768,1.218,1.21,1.21,13.61806,13.61806,5.5769,6.75885,5.2117,5.2117,3.44,3.44,1.1,1.6,0.89,0.89,1897,1897,3464,4744,20.6,20.6,12.1,7.3,3.62,3.62,6.15,8.57,51.8,51.8,44.6,323,727,727,918,2477,0.205,0.205,0.195,0.265,0.184,0.184,0.134,0.537,0.946232769
Ba2LaUO6,5,15.9994,15.9994,138.9055,238.02891,137.327,137.327,3.5,3.5,1.08,-300,0.97,0.97,1.738,1.738,0.932,1.218,1.21,1.21,13.61806,13.61806,5.5769,6.19405,5.2117,5.2117,3.44,3.44,1.1,1.7,0.89,0.89,1897,1897,3464,4131,20.6,20.6,12.1,13.9,3.62,3.62,6.15,19.1,51.8,51.8,44.6,38.4,727,727,918,1135,0.205,0.205,0.195,0.116,0.184,0.184,0.134,0.276,0.912276057
Ba2NdUO6,5,15.9994,15.9994,144.24,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.151,1.21,1.21,13.61806,13.61806,5.525,6.19405,5.2117,5.2117,3.44,3.44,1.14,1.7,0.89,0.89,1897,1897,3074,4131,20.6,20.6,9.6,13.9,3.62,3.62,7.01,19.1,51.8,51.8,49.5,38.4,727,727,1021,1135,0.205,0.205,0.191,0.116,0.184,0.184,0.165,0.276,0.925849785
Ba2SmUO6,5,15.9994,15.9994,150.36,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.134,1.21,1.21,13.61806,13.61806,5.6436,6.19405,5.2117,5.2117,3.44,3.44,1.17,1.7,0.89,0.89,1897,1897,1794,4131,20.6,20.6,12.7,13.9,3.62,3.62,7.52,19.1,51.8,51.8,57.3,38.4,727,727,1074,1135,0.205,0.205,0.196,0.116,0.184,0.184,0.133,0.276,0.929358355
Ba2YTaO6,3,15.9994,15.9994,88.90585,180.9479,137.327,137.327,3.5,3.5,1.11,1.33,0.97,0.97,1.738,1.738,0.777,1.065,1.21,1.21,13.61806,13.61806,6.2171,7.5496,5.2117,5.2117,3.44,3.44,1.22,1.5,0.89,0.89,1897,1897,3345,5458,20.6,20.6,10.6,6.3,3.62,3.62,4.47,16.4,51.8,51.8,128,202.1,727,727,1522,3007,0.205,0.205,0.298,0.14,0.184,0.184,0.172,0.575,0.978203093
BaCrO3,6,15.9994,15.9994,51.9961,51.9961,137.327,137.327,3.5,3.5,1.56,1.56,0.97,0.97,1.738,1.738,0.75,0.75,1.21,1.21,13.61806,13.61806,6.7665,6.7665,5.2117,5.2117,3.44,3.44,1.66,1.66,0.89,0.89,1897,1897,2671,2671,20.6,20.6,4.9,4.9,3.62,3.62,7.15,7.15,51.8,51.8,404,404,727,727,1907,1907,0.205,0.205,0.45,0.45,0.184,0.184,0.937,0.937,1.063546322
BaPbO3,5,15.9994,15.9994,207.2,207.2,137.327,137.327,3.5,3.5,1.55,1.55,0.97,0.97,1.738,1.738,0.982,0.982,1.21,1.21,13.61806,13.61806,7.41666,7.41666,5.2117,5.2117,3.44,3.44,1.8,1.8,0.89,0.89,1897,1897,1749,1749,20.6,20.6,28.9,28.9,3.62,3.62,11.3,11.3,51.8,51.8,23.1,23.1,727,727,327.46,327.46,0.205,0.205,0.127,0.127,0.184,0.184,0.353,0.353,0.9509812
BaTbO3,5,15.9994,15.9994,158.92534,158.92534,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,-300,-300,1.21,1.21,13.61806,13.61806,5.8638,5.8638,5.2117,5.2117,3.44,3.44,-300,-300,0.89,0.89,1897,1897,3230,3230,20.6,20.6,10.3,10.3,3.62,3.62,8.23,8.23,51.8,51.8,67.9,67.9,727,727,1356,1356,0.205,0.205,0.182,0.182,0.184,0.184,0.111,0.111,-300
BaVS3,6,32.065,32.065,50.9415,50.9415,137.327,137.327,2.44,2.44,1.45,1.45,0.97,0.97,1.738,1.738,0.724,0.724,-300,-300,10.36001,10.36001,6.7462,6.7462,5.2117,5.2117,2.58,2.58,1.63,1.63,0.89,0.89,1897,1897,3407,3407,20.6,20.6,8.4,8.4,3.62,3.62,6,6,51.8,51.8,422,422,727,727,1910,1910,0.205,0.205,0.489,0.489,0.184,0.184,0.307,0.307,0.704710978
Bi2NiMnO6,16,15.9994,15.9994,58.6934,54.938049,208.98038,208.98038,3.5,3.5,1.75,1.6,1.67,1.67,1.397,1.397,0.693,0.85,1.21,1.21,13.61806,13.61806,7.6398,7.43402,7.2856,7.2856,3.44,3.44,1.91,1.55,1.9,1.9,1564,1564,2913,2061,13.4,13.4,13.4,21.7,9.79,9.79,8.9,7.3,53.3,53.3,290.3,235,271.4,271.4,1455,1246,0.122,0.122,0.445,0.479,0.0787,0.0787,0.907,0.0782,0.930319141
BiCoO3,NaN,15.9994,15.9994,58.9332,58.9332,208.98038,208.98038,3.5,3.5,1.7,1.7,1.67,1.67,1.397,1.397,0.683,0.683,1.21,1.21,13.61806,13.61806,7.881,7.881,7.2856,7.2856,3.44,3.44,1.88,1.88,1.9,1.9,1564,1564,2927,2927,13.4,13.4,13,13,9.79,9.79,8.86,8.86,53.3,53.3,272.5,272.5,271.4,271.4,1495,1495,0.122,0.122,0.421,0.421,0.0787,0.0787,1,1,0.973812667
BiMnO3,5,15.9994,15.9994,54.938049,54.938049,208.98038,208.98038,3.5,3.5,1.6,1.6,1.67,1.67,1.397,1.397,0.806,0.806,1.21,1.21,13.61806,13.61806,7.43402,7.43402,7.2856,7.2856,3.44,3.44,1.55,1.55,1.9,1.9,1564,1564,2061,2061,13.4,13.4,21.7,21.7,9.79,9.79,7.3,7.3,53.3,53.3,235,235,271.4,271.4,1246,1246,0.122,0.122,0.479,0.479,0.0787,0.0787,0.0782,0.0782,0.914398501
Ca2CrOsO6,NaN,15.9994,15.9994,51.9961,190.23,40.078,40.078,3.5,3.5,1.56,1.52,1.04,1.04,1.42,1.42,-300,0.77,1.21,1.21,13.61806,13.61806,6.7665,8.4382,6.11316,6.11316,3.44,3.44,1.66,2.2,1,1,1484,1484,2671,5012,22.3,22.3,4.9,5.1,1.54,1.54,7.15,22.59,213.1,213.1,404,304.1,842,842,1907,3033,0.646,0.646,0.45,0.13,2,2,0.937,0.876,-300
Ca2NiOsO6,5,15.9994,15.9994,58.6934,190.23,40.078,40.078,3.5,3.5,1.75,1.52,1.04,1.04,1.42,1.42,0.82,0.85,1.21,1.21,13.61806,13.61806,7.6398,8.4382,6.11316,6.11316,3.44,3.44,1.91,2.2,1,1,1484,1484,2913,5012,22.3,22.3,13.4,5.1,1.54,1.54,8.9,22.59,213.1,213.1,290.3,304.1,842,842,1455,3033,0.646,0.646,0.445,0.13,2,2,0.907,0.876,0.909384271
CaCrO3,5,15.9994,15.9994,51.9961,51.9961,40.078,40.078,3.5,3.5,1.56,1.56,1.04,1.04,1.42,1.42,0.75,0.75,1.21,1.21,13.61806,13.61806,6.7665,6.7665,6.11316,6.11316,3.44,3.44,1.66,1.66,1,1,1484,1484,2671,2671,22.3,22.3,4.9,4.9,1.54,1.54,7.15,7.15,213.1,213.1,404,404,842,842,1907,1907,0.646,0.646,0.45,0.45,2,2,0.937,0.937,0.948821854
CaRuO3,5,15.9994,15.9994,101.07,101.07,40.078,40.078,3.5,3.5,1.42,1.42,1.04,1.04,1.42,1.42,0.774,0.774,1.21,1.21,13.61806,13.61806,7.3605,7.3605,6.11316,6.11316,3.44,3.44,2.2,2.2,1,1,1484,1484,4150,4150,22.3,22.3,6.4,6.4,1.54,1.54,12.1,12.1,213.1,213.1,381.8,381.8,842,842,2333,2333,0.646,0.646,0.238,0.238,2,2,1.17,1.17,0.937344171
CeAlO3,NaN,15.9994,15.9994,26.981538,26.981538,140.116,140.116,3.5,3.5,1.47,1.47,-300,-300,1.454,1.454,0.666,0.666,1.21,1.21,13.61806,13.61806,5.98577,5.98577,5.5387,5.5387,3.44,3.44,1.61,1.61,1.12,1.12,3443,3443,2519,2519,6.3,6.3,23.1,23.1,6.77,6.77,2.7,2.7,39,39,399.9,399.9,798,798,660.32,660.32,0.192,0.192,0.904,0.904,0.113,0.113,2.37,2.37,1.004121783
ErMnO3,5,15.9994,15.9994,54.938049,54.938049,167.259,167.259,3.5,3.5,1.6,1.6,-300,-300,1.291,1.291,0.806,0.806,1.21,1.21,13.61806,13.61806,7.43402,7.43402,6.1077,6.1077,3.44,3.44,1.55,1.55,1.24,1.24,2868,2868,2061,2061,12.2,12.2,21.7,21.7,9.07,9.07,7.3,7.3,119,119,235,235,1529,1529,1246,1246,0.168,0.168,0.479,0.479,0.145,0.145,0.0782,0.0782,0.877219276
K3MoO3F3,4,15.9994,18.9984032,39.0983,95.94,39.0983,39.0983,3.5,4.1,0.91,1.3,0.91,0.91,1.841,1.841,0.7,1.585,1.21,1.145,13.61806,17.42282,4.34066,7.09243,4.34066,4.34066,3.44,3.98,0.82,2.16,0.82,0.82,759,759,759,4639,83.3,83.3,83.3,4.8,0.89,0.89,0.89,10.2,59.6,59.6,59.6,390.7,63.38,63.38,63.38,2622,0.757,0.757,0.757,0.251,1.024,1.024,1.024,1.38,0.920000784
KAsO3,NaN,15.9994,15.9994,74.9216,74.9216,39.0983,39.0983,3.5,3.5,2.02,2.02,0.91,0.91,1.841,1.841,0.624,0.624,1.21,1.21,13.61806,13.61806,9.7886,9.7886,4.34066,4.34066,3.44,3.44,2.18,2.18,0.82,0.82,759,759,-300,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,-300,-300,1.176326494
KCaF3,5,18.9984032,18.9984032,40.078,40.078,39.0983,39.0983,4.1,4.1,1.04,1.04,0.91,0.91,1.841,1.841,1.163,1.163,1.145,1.145,17.42282,17.42282,6.11316,6.11316,4.34066,4.34066,3.98,3.98,1,1,0.82,0.82,759,759,1484,1484,83.3,83.3,22.3,22.3,0.89,0.89,1.54,1.54,59.6,59.6,213.1,213.1,63.38,63.38,842,842,0.757,0.757,0.646,0.646,1.024,1.024,2,2,0.914827057
KCrF3,5,18.9984032,18.9984032,51.9961,51.9961,39.0983,39.0983,4.1,4.1,1.56,1.56,0.91,0.91,1.841,1.841,0.926,0.926,1.145,1.145,17.42282,17.42282,6.7665,6.7665,4.34066,4.34066,3.98,3.98,1.66,1.66,0.82,0.82,759,759,2671,2671,83.3,83.3,4.9,4.9,0.89,0.89,7.15,7.15,59.6,59.6,404,404,63.38,63.38,1907,1907,0.757,0.757,0.45,0.45,1.024,1.024,0.937,0.937,1.019517551
KIO3,NaN,15.9994,15.9994,126.90447,126.90447,39.0983,39.0983,3.5,3.5,2.21,2.21,0.91,0.91,1.841,1.841,0.86,0.86,1.21,1.21,13.61806,13.61806,10.45126,10.45126,4.34066,4.34066,3.44,3.44,2.66,2.66,0.82,0.82,759,759,184.4,184.4,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,-300,-300,1.042213908
La2CoTiO6,5,15.9994,15.9994,58.9332,47.867,138.9055,138.9055,3.5,3.5,1.7,1.32,1.08,1.08,1.475,1.475,0.755,0.888,1.21,1.21,13.61806,13.61806,7.881,6.8281,5.5769,5.5769,3.44,3.44,1.88,1.54,1.1,1.1,3464,3464,2927,3287,12.1,12.1,13,8.6,6.15,6.15,8.86,4.51,44.6,44.6,272.5,295.6,918,918,1495,1670,0.195,0.195,0.421,0.522,0.134,0.134,1,0.219,0.934571355
La2FeMnO6,5,15.9994,15.9994,55.845,54.938049,138.9055,138.9055,3.5,3.5,1.64,1.6,1.08,1.08,1.475,1.475,0.806,0.805,1.21,1.21,13.61806,13.61806,7.9024,7.43402,5.5769,5.5769,3.44,3.44,1.83,1.55,1.1,1.1,3464,3464,2861,2061,12.1,12.1,11.8,21.7,6.15,6.15,7.87,7.3,44.6,44.6,247.3,235,918,918,1538,1246,0.195,0.195,0.449,0.479,0.134,0.134,0.802,0.0782,0.941990428
La2FeVO6,5,15.9994,15.9994,55.845,50.9415,138.9055,138.9055,3.5,3.5,1.64,1.45,1.08,1.08,1.475,1.475,0.724,0.93,1.21,1.21,13.61806,13.61806,7.9024,6.7462,5.5769,5.5769,3.44,3.44,1.83,1.63,1.1,1.1,3464,3464,2861,3407,12.1,12.1,11.8,8.4,6.15,6.15,7.87,6,44.6,44.6,247.3,422,918,918,1538,1910,0.195,0.195,0.449,0.489,0.134,0.134,0.802,0.307,0.932047966
La2GaMnO6,5,15.9994,15.9994,69.723,54.938049,138.9055,138.9055,3.5,3.5,1.82,1.6,1.08,1.08,1.475,1.475,0.806,0.776,1.21,1.21,13.61806,13.61806,5.9993,7.43402,5.5769,5.5769,3.44,3.44,1.81,1.55,1.1,1.1,3464,3464,2204,2061,12.1,12.1,18,21.7,6.15,6.15,5.91,7.3,44.6,44.6,80,235,918,918,29.767,1246,0.195,0.195,0.374,0.479,0.134,0.134,0.406,0.0782,0.948816446
La2LiRuO6,5,15.9994,15.9994,6.941,101.07,138.9055,138.9055,3.5,3.5,0.97,1.42,1.08,1.08,1.475,1.475,0.757,0.919,1.21,1.21,13.61806,13.61806,5.39172,7.3605,5.5769,5.5769,3.44,3.44,0.98,2.2,1.1,1.1,3464,3464,1342,4150,12.1,12.1,46,6.4,6.15,6.15,0.534,12.1,44.6,44.6,432,381.8,918,918,180.5,2333,0.195,0.195,3.57,0.238,0.134,0.134,0.847,1.17,0.927041849
La2MgMnO6,5,15.9994,15.9994,24.305,54.938049,138.9055,138.9055,3.5,3.5,1.23,1.6,1.08,1.08,1.475,1.475,0.693,0.889,1.21,1.21,13.61806,13.61806,7.64624,7.43402,5.5769,5.5769,3.44,3.44,1.31,1.55,1.1,1.1,3464,3464,1090,2061,12.1,12.1,24.8,21.7,6.15,6.15,1.74,7.3,44.6,44.6,348.9,235,918,918,650,1246,0.195,0.195,1.024,0.479,0.134,0.134,1.56,0.0782,0.948816446
LaHoO3,5,15.9994,15.9994,164.93032,164.93032,138.9055,138.9055,3.5,3.5,-300,-300,1.08,1.08,1.475,1.475,1.071,1.071,1.21,1.21,13.61806,13.61806,6.0215,6.0215,5.5769,5.5769,3.44,3.44,1.23,1.23,1.1,1.1,3464,3464,2700,2700,12.1,12.1,11.2,11.2,6.15,6.15,8.8,8.8,44.6,44.6,103,103,918,918,1474,1474,0.195,0.195,0.165,0.165,0.134,0.134,0.162,0.162,0.832346211
LaYbO3,5,15.9994,15.9994,173.04,173.04,138.9055,138.9055,3.5,3.5,-300,-300,1.08,1.08,1.475,1.475,1.011,1.011,1.21,1.21,13.61806,13.61806,6.25416,6.25416,5.5769,5.5769,3.44,3.44,-300,-300,1.1,1.1,3464,3464,1196,1196,12.1,12.1,26.3,26.3,6.15,6.15,6.9,6.9,44.6,44.6,44.3,44.3,918,918,819,819,0.195,0.195,0.154,0.154,0.134,0.134,0.385,0.385,0.854831926
Li3AlF6,NaN,18.9984032,18.9984032,6.941,26.981538,6.941,6.941,4.1,4.1,0.97,1.47,0.97,0.97,1.175,1.175,0.666,0.919,1.145,1.145,17.42282,17.42282,5.39172,5.98577,5.39172,5.39172,3.98,3.98,0.98,1.61,0.98,0.98,1342,1342,1342,2519,46,46,46,23.1,0.534,0.534,0.534,2.7,432,432,432,399.9,180.5,180.5,180.5,660.32,3.57,3.57,3.57,0.904,0.847,0.847,0.847,2.37,0.846703346
Mn2FeReO6,5,15.9994,15.9994,55.845,186.207,54.938049,54.938049,3.5,3.5,1.64,1.46,1.6,1.6,1.243,1.243,0.717,0.805,1.21,1.21,13.61806,13.61806,7.9024,7.8335,7.43402,7.43402,3.44,3.44,1.83,1.9,1.55,1.55,2061,2061,2861,5596,21.7,21.7,11.8,6.2,7.3,7.3,7.87,20.8,235,235,247.3,324.5,1246,1246,1538,3186,0.479,0.479,0.449,0.137,0.0782,0.0782,0.802,0.479,0.880026857
Mn2FeSbO6,5,15.9994,15.9994,55.845,121.76,54.938049,54.938049,3.5,3.5,1.64,1.82,1.6,1.6,1.243,1.243,0.799,0.805,1.21,1.21,13.61806,13.61806,7.9024,8.6084,7.43402,7.43402,3.44,3.44,1.83,2.05,1.55,1.55,2061,2061,2861,1587,21.7,21.7,11.8,11,7.3,7.3,7.87,6.68,235,235,247.3,162.5,1246,1246,1538,630.63,0.479,0.479,0.449,0.207,0.0782,0.0782,0.802,0.243,0.862093904
MnVO3,5,15.9994,15.9994,50.9415,50.9415,54.938049,54.938049,3.5,3.5,1.45,1.45,1.6,1.6,1.243,1.243,0.724,0.724,1.21,1.21,13.61806,13.61806,6.7462,6.7462,7.43402,7.43402,3.44,3.44,1.63,1.63,1.55,1.55,2061,2061,3407,3407,21.7,21.7,8.4,8.4,7.3,7.3,6,6,235,235,422,422,1246,1246,1910,1910,0.479,0.479,0.489,0.489,0.0782,0.0782,0.307,0.307,0.896862944
Nd2GaMnO6,5,15.9994,15.9994,69.723,54.938049,144.24,144.24,3.5,3.5,1.82,1.6,-300,-300,1.408,1.408,0.806,0.776,1.21,1.21,13.61806,13.61806,5.9993,7.43402,5.525,5.525,3.44,3.44,1.81,1.55,1.14,1.14,3074,3074,2204,2061,9.6,9.6,18,21.7,7.01,7.01,5.91,7.3,49.5,49.5,80,235,1021,1021,29.767,1246,0.191,0.191,0.374,0.479,0.165,0.165,0.406,0.0782,0.925140206
Pb2ScNbO6,5,15.9994,15.9994,44.95591,92.90638,207.2,207.2,3.5,3.5,1.2,1.23,1.55,1.55,1.565,1.565,0.768,0.895,1.21,1.21,13.61806,13.61806,6.5615,6.75885,7.41666,7.41666,3.44,3.44,1.36,1.6,1.8,1.8,1749,1749,2836,4744,28.9,28.9,10.2,7.3,11.3,11.3,2.99,8.57,23.1,23.1,314,323,327.46,327.46,1541,2477,0.127,0.127,0.567,0.265,0.353,0.353,0.158,0.537,0.961166455
PrCoO3,5,15.9994,15.9994,58.9332,58.9332,140.90765,140.90765,3.5,3.5,1.7,1.7,-300,-300,1.441,1.441,0.683,0.683,1.21,1.21,13.61806,13.61806,7.881,7.881,5.473,5.473,3.44,3.44,1.88,1.88,1.13,1.13,3520,3520,2927,2927,6.7,6.7,13,13,6.77,6.77,8.86,8.86,48.9,48.9,272.5,272.5,931,931,1495,1495,0.193,0.193,0.421,0.421,0.125,0.125,1,1,0.990248324
Rb2KMoO3F3,4,15.9994,18.9984032,39.0983,95.94,85.4678,85.4678,3.5,4.1,0.91,1.3,0.89,0.89,1.972,1.972,0.7,1.585,1.21,1.145,13.61806,17.42282,4.34066,7.09243,4.17713,4.17713,3.44,3.98,0.82,2.16,0.82,0.82,688,688,759,4639,-300,-300,83.3,4.8,1.53,1.53,0.89,10.2,25.6,25.6,59.6,390.7,39.3,39.3,63.38,2622,0.364,0.364,0.757,0.251,0.582,0.582,1.024,1.38,0.959927934
Rb2KScF6,3,18.9984032,18.9984032,39.0983,44.95591,85.4678,85.4678,4.1,4.1,0.91,1.2,0.89,0.89,1.972,1.972,0.895,1.585,1.145,1.145,17.42282,17.42282,4.34066,6.5615,4.17713,4.17713,3.98,3.98,0.82,1.36,0.82,0.82,688,688,759,2836,-300,-300,83.3,10.2,1.53,1.53,0.89,2.99,25.6,25.6,59.6,314,39.3,39.3,63.38,1541,0.364,0.364,0.757,0.567,0.582,0.582,1.024,0.158,0.924130749
SmMnO3,5,15.9994,15.9994,54.938049,54.938049,150.36,150.36,3.5,3.5,1.6,1.6,-300,-300,1.391,1.391,0.806,0.806,1.21,1.21,13.61806,13.61806,7.43402,7.43402,5.6436,5.6436,3.44,3.44,1.55,1.55,1.17,1.17,1794,1794,2061,2061,12.7,12.7,21.7,21.7,7.52,7.52,7.3,7.3,57.3,57.3,235,235,1074,1074,1246,1246,0.196,0.196,0.479,0.479,0.133,0.133,0.0782,0.0782,0.912294017
Sr2CdWO6,5,15.9994,15.9994,112.411,183.84,87.62,87.62,3.5,3.5,1.46,1.4,0.99,0.99,1.571,1.571,0.71,1.1,1.21,1.21,13.61806,13.61806,8.9938,7.864,5.6949,5.6949,3.44,3.44,1.69,1.7,0.95,0.95,1382,1382,767,5555,22.5,22.5,30.8,4.5,2.64,2.64,8.69,19.3,84.8,84.8,55.2,284.5,777,777,321.07,3414,0.306,0.306,0.231,0.132,0.353,0.353,0.968,1.74,0.929770193
Sr2CoFeO6,5,15.9994,15.9994,58.9332,55.845,87.62,87.62,3.5,3.5,1.7,1.64,0.99,0.99,1.571,1.571,-300,0.66,1.21,1.21,13.61806,13.61806,7.881,7.9024,5.6949,5.6949,3.44,3.44,1.88,1.83,0.95,0.95,1382,1382,2927,2861,22.5,22.5,13,11.8,2.64,2.64,8.86,7.87,84.8,84.8,272.5,247.3,777,777,1495,1538,0.306,0.306,0.421,0.449,0.353,0.353,1,0.802,-300
Sr2CoIrO6,5,15.9994,15.9994,58.9332,192.217,87.62,87.62,3.5,3.5,1.7,1.55,0.99,0.99,1.571,1.571,0.773,0.683,1.21,1.21,13.61806,13.61806,7.881,8.967,5.6949,5.6949,3.44,3.44,1.88,2.2,0.95,0.95,1382,1382,2927,4428,22.5,22.5,13,6.4,2.64,2.64,8.86,22.5,84.8,84.8,272.5,213.9,777,777,1495,2446,0.306,0.306,0.421,0.131,0.353,0.353,1,1.47,1.014687285
Sr2CrMoO6,3,15.9994,15.9994,51.9961,95.94,87.62,87.62,3.5,3.5,1.56,1.3,0.99,0.99,1.571,1.571,0.707,0.77,1.21,1.21,13.61806,13.61806,6.7665,7.09243,5.6949,5.6949,3.44,3.44,1.66,2.16,0.95,0.95,1382,1382,2671,4639,22.5,22.5,4.9,4.8,2.64,2.64,7.15,10.2,84.8,84.8,404,390.7,777,777,1907,2622,0.306,0.306,0.45,0.251,0.353,0.353,0.937,1.38,1.009219378
Sr2CuWO6,5,15.9994,15.9994,63.546,183.84,87.62,87.62,3.5,3.5,1.75,1.4,0.99,0.99,1.571,1.571,0.71,0.875,1.21,1.21,13.61806,13.61806,7.72638,7.864,5.6949,5.6949,3.44,3.44,1.9,1.7,0.95,0.95,1382,1382,2562,5555,22.5,22.5,16.5,4.5,2.64,2.64,8.96,19.3,84.8,84.8,203.5,284.5,777,777,1084.62,3414,0.306,0.306,0.384,0.132,0.353,0.353,4.01,1.74,0.982004474
Sr2FeMoO6,5,15.9994,15.9994,55.845,95.94,87.62,87.62,3.5,3.5,1.64,1.3,0.99,0.99,1.571,1.571,0.7,0.93,1.21,1.21,13.61806,13.61806,7.9024,7.09243,5.6949,5.6949,3.44,3.44,1.83,2.16,0.95,0.95,1382,1382,2861,4639,22.5,22.5,11.8,4.8,2.64,2.64,7.87,10.2,84.8,84.8,247.3,390.7,777,777,1538,2622,0.306,0.306,0.449,0.251,0.353,0.353,0.802,1.38,0.971093313
Sr2FeSbO6,5,15.9994,15.9994,55.845,121.76,87.62,87.62,3.5,3.5,1.64,1.82,0.99,0.99,1.571,1.571,0.799,0.805,1.21,1.21,13.61806,13.61806,7.9024,8.6084,5.6949,5.6949,3.44,3.44,1.83,2.05,0.95,0.95,1382,1382,2861,1587,22.5,22.5,11.8,11,2.64,2.64,7.87,6.68,84.8,84.8,247.3,162.5,777,777,1538,630.63,0.306,0.306,0.449,0.207,0.353,0.353,0.802,0.243,0.977367773
