"","Intercept","AtomicMassofB","AtomicMassofBprime","AtomicMassofA","AtomicMassofAprime","ARENofB","ARENofBprime","ARENofA","ARENofAprime","r_XIIofA","r_XIIofAprime","r_VIofBprime","r_VIofB","r_VIIofB","CrystalRadiusofA","CrystalRadiusofAprime","CrystalRadiusofBprime","CrystalRadiusofB","IonicRadiiofB","IonicRadiiofBprime","IonicRadiiofA","IonicRadiiofAprime","IonizationPotentialofB","IonizationPotentialofBprime","IonizationPotentialofA","IonizationPotentialofAprime","PaulingENofB","PaulingENofBprime","PaulingENofA","PaulingENofAprime","ZungerRadiiofB","ZungerRadiiofBprime","ZungerRadiiofA","ZungerRadiiofAprime","BoilingPtofA","BoilingPtofAprime","BoilingPtofB","BoilingPtofBprime","CoefficientofLinearThermalExpansionatSpecofA","CoefficientofLinearThermalExpansionatSpecofAprime","CoefficientofLinearThermalExpansionatSpecofB","CoefficientofLinearThermalExpansionatSpecofBprime","DensityatSpecofA","DensityatSpecofAprime","DensityatSpecofB","DensityatSpecofBprime","EnthalpyofFusionofA","EnthalpyofFusionofAprime","EnthalpyofFusionofB","EnthalpyofFusionofBprime","MeltingPtofA","MeltingPtofAprime","MeltingPtofB","MeltingPtofBprime","SpecificHeatCapacityofA","SpecificHeatCapacityofAprime","SpecificHeatCapacityofB","SpecificHeatCapacityofBprime","ThermalHeatConductivityofA","ThermalHeatConductivityofAprime","ThermalHeatConductivityofB","ThermalHeatConductivityofBprime","rA","rB","ToleranceBVP","Vc"
"2.5%",-9.89032254106646,-0.235293861538804,-0.159210989120271,-0.654009402871944,-0.119516171749959,0.00330904262758905,0.00147452879049279,-0.00751259568580863,0.00144820278311415,2.57778074694105e-06,-5.79622257387657e-05,2.11169797093289e-05,8.37286081509037e-05,0.00457060436784194,0.00584348229789877,0.00141378189060505,-0.0167743560697626,0.972397629239104,0.611551582585837,-0.331680970583509,0.737626852663364,0.00899768359715243,-0.0031028949269577,-0.029015762959971,-0.013435833209177,-7.91964077586209e-05,0.000353859791542472,0.000499235548274881,0.000367986125868233,1.02380301716769,0.631513069686778,-0.171318254697509,0.364921980728321,-0.242710153920433,-0.11961872900795,0.0575424510828968,-0.262905833607359,-0.000499794805450537,-0.000403914760482883,0.000125911118228628,0.000104129495375421,-0.211246242952638,-0.103740558709188,-0.016706158596069,-0.537912524869861,0.120590253953631,0.117750547307391,1.00675223064304,1.09874228067346,0.605812179902005,0.893486140876127,0.732493596709083,0.513581002256546,0.581102492013842,-0.10055836440067,-0.538490950718523,-0.288433047273761,-0.235422897097915,-0.0391485140807,-0.316283964645023,1.85840050347043,0.00480364199759016,0.280038916412362,-0.0770650134728185,-0.124572458002652,-0.627520722508168
"97.5%",-8.6921971188876,-0.142607509475772,-0.109926521310713,-0.294923362537786,0.177722306681926,0.00520203382956967,0.00176719988517007,-0.00386116140058761,0.00308990208157084,5.96843900639616e-05,-4.59892567280414e-05,6.15053433984092e-05,0.000135723698629754,0.00531730254602104,0.00837073050717478,0.0071842778615557,-0.0128403241341262,1.39398860031054,0.666688855315036,-0.257143313848309,1.15256751828113,0.0186233056845777,-0.00017601168066769,-0.0255220524443473,-0.00496264971389633,-9.07085171813289e-06,0.000797036673297976,0.000698879046140338,0.000438474043062215,1.45531317523631,0.697202831159108,-0.108769223532877,0.506559229125347,-0.152590263089007,-0.101588220064674,0.0901445654355753,-0.128615554597306,-0.000364491389866072,-0.00032404366832134,0.000285670053270215,0.000173375600270502,-0.146003945858832,-0.100089412179724,0.162468969103371,-0.352127133159542,0.220770403333207,0.212075489113431,1.31875036947445,1.60395369871625,0.68952544202776,1.08301690842894,1.04516815396204,0.814651489446904,0.965002295478088,-0.0158124320774159,-0.458589528227477,-0.176056734756736,-0.151672679614375,-0.0378438113333305,-0.183358003067906,2.56455496655552,0.00498347860637603,0.415940339901669,0.0699926188129278,0.0788883878901277,-0.0785110407426199
"2.5%",-16.518665753958,-0.317171250257226,-0.322698327930399,0.277487107284162,0.0262943332732388,0.00256633536201118,0.00277175157904439,0.00179256846342138,-0.00118763151326286,4.27456696915808e-05,4.83766048448527e-05,-8.61770302375891e-05,-4.67359490013664e-05,-0.00563290488971363,-0.00588965372796233,-0.0045880259081649,-0.00696098438178406,0.820940485426302,0.873038688466044,-1.25305824578285,-3.98053242360304,0.000183780665196106,0.00120188907291723,0.0253917616507066,0.0105125629326736,-0.00107059548891878,-0.00115515788944826,0.00035707306572494,0.000592269850598299,0.862937402061551,0.918363175038528,-1.33472770198391,-3.51936143135914,-0.207723610231929,-0.219287645004414,-0.28501920012862,0.0790321100306221,-9.43534163199886e-05,-0.000102162155526733,4.33175293019218e-05,-3.60061761398948e-06,-0.30899022132711,-0.318939321037604,0.309026237017784,0.405741204297661,-1.60602743245517,-1.60277091393073,0.566872989313511,1.00791515688652,1.0772108155744,1.04255593729096,-1.09110184649193,-0.212025468809688,-0.224928795079524,-0.189722469858446,0.259990886191981,-0.087897841089939,-0.0938961399650898,-0.232814432941159,0.162862477109249,3.65248109174187,0.00864525688917637,0.626320852419791,0.655432745333689,-0.062388191824331,0.249509993657008
"97.5%",-10.4817633346965,-0.237654754794213,-0.241189060193957,0.439129767233207,0.111524554274808,0.0047435257031529,0.00509663184212977,0.00442398194094612,-0.000609233193474501,0.000104451299107173,0.000113637140331496,-2.04228817123781e-05,-2.97340954186674e-05,-0.0027362529480587,-0.0028911430631256,-0.00114909588690037,-0.00366856878099996,1.31702544798544,1.40789679790748,-0.701992805892458,-2.11935640723987,0.00901250324113322,0.0108333979346026,0.0446827151989731,0.0231062650356767,-0.000622020615890937,-0.00066667147784812,0.00107400348361474,0.00113841259931197,1.39046589996376,1.48791442341646,-0.774675840660419,-1.94159189072179,-0.12940179111386,-0.136265207290372,-0.106438854855135,0.099492912253931,-5.46170131987402e-05,-5.89484416607442e-05,8.93871017631807e-05,1.50278091379002e-05,-0.216583904729964,-0.22194256572601,0.524579223491896,0.588448862356838,-0.879784645087778,-0.877910687715837,1.92617794431543,1.63179603054988,1.74808067447961,1.71103484844182,-0.881658304462296,-0.123777817869497,-0.13117048357383,-0.104011272654488,0.546360795649625,-0.0574970322184159,-0.0606084515723315,-0.106030550404736,0.223154800844708,5.62504718794326,0.01813358449581,0.970656562766079,1.02263736940716,0.0757674848790531,0.795534389156852
"2.5%",8.75744772174133,0.789057164791803,0.790379318126501,-0.15817244727111,0.131546294646242,-0.00632039530160408,-0.00638269076967436,-6.94748296638029e-05,-0.00213634048611752,4.24168584971227e-05,4.21492112944231e-05,-0.000268425648501697,-9.46596246887797e-05,0.014553659689722,0.0145521651451854,0.00814301753771964,-0.000495206000700095,-1.16963223617259,-1.18952458960963,0.316237128229432,0.670580812903408,-0.0154008120164724,-0.0153216507926051,-0.0490701919982927,-0.0152893245292107,0.00149212905264245,0.00150943320406117,-0.00171121110687322,-0.00120550242575719,-1.46802202106794,-1.49083238344164,0.3086403845043,0.772911179901818,0.0348266005620261,0.0344739800460577,-0.0503489831691757,-0.109980199961807,0.000340165807885369,0.000340167555248014,-0.000297048442902871,-0.000116465103725039,0.479281032029365,0.480602850771925,-0.0975377989822366,0.0867793265012637,0.304686462215745,0.308805632942966,0.292406354004757,-1.48972326650001,-1.52146413024584,-1.4894751621965,0.594354589634557,-0.701174774005235,-0.700330188371152,0.0298190554056327,0.602677912268819,0.181251034426449,0.18472465856883,-0.143312426276103,-0.0620966162130091,-4.905762396167,-0.00526454217033124,-1.73538171156884,-1.74150023372659,0.0230556723780808,-0.243342684174363
"97.5%",14.9864690871249,1.00271395008467,1.0054859703819,-0.119750945132541,0.171380804939964,-0.00400474853202791,-0.0040412139949647,0.00013704084142998,-0.00113241996365014,5.82276347272598e-05,5.76476042881752e-05,-0.000130022213073632,-6.60544502726085e-05,0.0251700509685666,0.0251958979481459,0.0115728244277336,0.00386026145811943,-0.852988195283582,-0.869196706642417,0.423500034318555,1.14314315814847,0.00190972009845443,0.00183909535369892,-0.0236369210030014,-0.0106173723705348,0.00232564433488278,0.00234073864192165,-0.000862108987979936,-0.000534951053263172,-0.97841119647846,-0.996941686271875,0.433104836704968,1.38208496394303,0.0438372376572221,0.0440922754981233,-0.0308454013515908,-0.0618141524623014,0.00041063127512018,0.000411668487526125,-0.000156383646077276,-8.01069627467443e-05,0.677693286594466,0.678701928492726,-0.0860429680698065,0.252109635232156,0.491578663946577,0.498002526372135,0.375837385238097,-0.961248222137036,-0.980111905397651,-0.975451899099849,0.913805054462333,-0.31285688947278,-0.313973658043031,0.068724867458627,1.06913380059088,0.308688278577862,0.314223119405775,-0.0765969790331345,-0.043793186032139,-3.15181935406748,-0.00222914944773861,-1.07730446767109,-1.08478877798602,0.041592237369175,-0.211393211101925
"2.5%",10.4165127318428,-0.452152188709808,-0.523576653331224,0.137187200386165,-0.375397444895129,-0.00362516423111849,-0.000472438127819606,0.00193155209573624,0.000234069917809543,-0.000222363323898394,-0.000113322518880905,0.000129328115076681,5.67187506039227e-06,-0.024854448624874,-0.0276769747273584,-0.0141690763811244,0.0126486314570068,-1.5413818121234,-0.829923790883682,0.691169050932458,0.711148741673096,-0.0122349969092385,-0.00286497274594846,0.0237672117966421,0.0050674591517575,-0.00117585243820538,-0.00198261742577136,-6.16714228818622e-05,-0.000466299459361192,-1.37775705413213,-0.644126554415299,0.633356477476808,0.672355283388005,0.238154816545645,0.193761151856923,0.0992445438745428,0.111397597028985,7.89425951794425e-05,4.28245547340711e-05,-7.80087121305245e-05,-7.19383056833631e-05,-0.157456822314718,-0.256576437262768,-0.60100522452546,-0.302645972719133,0.454507928918402,0.45135450746548,-3.62076569902798,-1.74602646276612,-0.846608652113181,-1.30457659467425,-0.867871361932438,-0.0769462949142683,-0.135958350396981,0.0900046493262711,-1.0826928972771,0.0523027325487034,0.0150959176572298,0.22177604351857,0.0821589883826084,-3.28383975833178,-0.0177269473716954,0.170944698838941,0.359363413839406,-0.0580924334349717,0.0433795444532407
"97.5%",11.4225192078996,-0.408794900521817,-0.439263736621831,0.373052082909847,-0.123554677171091,-0.00187062945757232,-0.000188469862948199,0.00315808857452631,0.000349058646528523,-8.77403089356446e-05,-4.45365594112344e-05,0.000293097335340877,1.23814146906425e-05,-0.0163880111095053,-0.0175045043799586,-0.00840770354142432,0.0242305464522468,-0.940349919381823,-0.654865411683071,1.0867015253126,1.68482174717344,-0.011091184360803,0.00759114778496022,0.0328475509551076,0.0056188927027109,-0.000836430364371358,-0.00119662151775552,5.80037398011499e-06,-0.000369801850959294,-0.908329222750778,-0.607054833843665,1.01039208881182,1.77235448668779,0.415607163590336,0.304432393966306,0.225720036044635,0.273393121315234,0.000183516946650345,9.44084284834915e-05,-1.28450014532737e-05,-2.04219150146877e-05,-0.11669318144057,-0.158570872866191,-0.195989627337573,-0.140393397639383,0.893678365175388,0.892692898445161,-1.86603157396131,-1.14540921542294,-0.784771656107568,-0.960590179067243,-0.445189881881344,0.0985487533680188,-0.0397433120274128,0.221555966800489,-0.404079270233323,0.0676426097858381,0.0275564726178763,0.414209269619879,0.136922349832455,-2.35906224114481,-0.0112197494390279,0.348784808901092,0.795927877792249,0.0257493007455177,0.0732789720016739
